profile,n,k,r,block_width,batch_size,lut_table_bytes,cache_level_fit,cache_level_ordinal,table_lookups_per_codeword,theoretical_ops,counter_mode,perf_available,perf_event_paranoid,typeperf_available,counter_events,l1_misses_per_bit,l2_misses_per_bit,llc_misses_per_bit,cycles_per_bit,notes,l1d_bytes,l2_bytes,l3_bytes
bch_511_484_r27,511,484,27,4,100,8192,L1,1,128,3968,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,13,1000,2588672,L3,3,79,3397,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,13,100000,2588672,L3,3,79,3397,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,14,100,4849664,L3,3,74,3256,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,14,1000,4849664,L3,3,74,3256,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,14,100000,4849664,L3,3,74,3256,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,15,100,9043968,L3,3,69,3105,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,15,1000,9043968,L3,3,69,3105,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,15,100000,9043968,L3,3,69,3105,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,16,100,16777216,L3,3,64,2944,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,16,1000,16777216,L3,3,64,2944,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,16,100000,16777216,L3,3,64,2944,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,17,100,31981568,DRAM,4,61,2867,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,17,1000,31981568,DRAM,4,61,2867,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,17,100000,31981568,DRAM,4,61,2867,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,18,100,59768832,DRAM,4,57,2736,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,18,1000,59768832,DRAM,4,57,2736,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,18,100000,59768832,DRAM,4,57,2736,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,19,100,113246208,DRAM,4,54,2646,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,19,1000,113246208,DRAM,4,54,2646,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,19,100000,113246208,DRAM,4,54,2646,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,20,100,218103808,DRAM,4,52,2600,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,20,1000,218103808,DRAM,4,52,2600,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,20,100000,218103808,DRAM,4,52,2600,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_1023_993_r30,1023,993,30,21,100,411041792,DRAM,4,49,2499,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
