profile,n,k,r,block_width,batch_size,lut_table_bytes,cache_level_fit,cache_level_ordinal,table_lookups_per_codeword,theoretical_ops,counter_mode,perf_available,perf_event_paranoid,typeperf_available,counter_events,l1_misses_per_bit,l2_misses_per_bit,llc_misses_per_bit,cycles_per_bit,notes,l1d_bytes,l2_bytes,l3_bytes
bch_255_239_r16,255,239,16,4,100,2048,L1,1,64,1280,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,13,1000,327680,L2,2,20,580,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,13,100000,327680,L2,2,20,580,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,14,100,622592,L2,2,19,570,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,14,1000,622592,L2,2,19,570,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,14,100000,622592,L2,2,19,570,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,15,100,1114112,L3,3,17,527,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,15,1000,1114112,L3,3,17,527,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,15,100000,1114112,L3,3,17,527,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,16,100,2097152,L3,3,16,512,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,16,1000,2097152,L3,3,16,512,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,16,100000,2097152,L3,3,16,512,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,17,100,3932160,L3,3,15,495,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,17,1000,3932160,L3,3,15,495,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,17,100000,3932160,L3,3,15,495,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,18,100,7864320,L3,3,15,510,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,18,1000,7864320,L3,3,15,510,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,18,100000,7864320,L3,3,15,510,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,19,100,14680064,L3,3,14,490,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,19,1000,14680064,L3,3,14,490,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,19,100000,14680064,L3,3,14,490,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
