preset,code_profile,n,r,backend,block_width,batch_size,density,lut_bytes,fits_l1,fits_l2,fits_l3,latency_per_word_us,throughput_Mword_s,mean,std,repeats,correctness_passed
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,4,64,0.005,2032,True,True,True,2.170833189059825,0.46065262178578265,2.170833189059825e-06,1.2629145717472101e-08,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,6,64,0.005,0,True,True,True,5.6369790399912745,0.1773999855074054,5.6369790399912745e-06,4.182261956281747e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,6,64,0.005,0,True,True,True,5.038020693367192,0.19849064957524895,5.038020693367192e-06,1.3542733693786258e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,6,64,0.005,0,True,True,True,5.26822926379585,0.18981709981229686,5.26822926379585e-06,9.448047663338009e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,6,64,0.005,5392,True,True,True,1.617708221601788,0.6181584457856321,1.617708221601788e-06,5.381759921487819e-08,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,8,64,0.005,0,True,True,True,5.6369790399912745,0.1773999855074054,5.6369790399912745e-06,4.182261956281747e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,8,64,0.005,0,True,True,True,5.038020693367192,0.19849064957524895,5.038020693367192e-06,1.3542733693786258e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,8,64,0.005,0,True,True,True,5.26822926379585,0.18981709981229686,5.26822926379585e-06,9.448047663338009e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,8,64,0.005,16128,True,True,True,1.2999998943996616,0.7692308317161817,1.2999998943996616e-06,1.6462084338309984e-08,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,10,64,0.005,0,True,True,True,5.6369790399912745,0.1773999855074054,5.6369790399912745e-06,4.182261956281747e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,10,64,0.005,0,True,True,True,5.038020693367192,0.19849064957524895,5.038020693367192e-06,1.3542733693786258e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,10,64,0.005,0,True,True,True,5.26822926379585,0.18981709981229686,5.26822926379585e-06,9.448047663338009e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,10,64,0.005,51264,False,True,True,0.9906252671498805,1.0094634501672781,9.906252671498805e-07,6.810831459918406e-09,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,12,64,0.005,0,True,True,True,5.6369790399912745,0.1773999855074054,5.6369790399912745e-06,4.182261956281747e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,12,64,0.005,0,True,True,True,5.038020693367192,0.19849064957524895,5.038020693367192e-06,1.3542733693786258e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,12,64,0.005,0,True,True,True,5.26822926379585,0.18981709981229686,5.26822926379585e-06,9.448047663338009e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,12,64,0.005,172048,False,True,True,0.89114594932956,1.1221506429472463,8.9114594932956e-07,3.252482294509861e-09,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,14,64,0.005,0,True,True,True,5.6369790399912745,0.1773999855074054,5.6369790399912745e-06,4.182261956281747e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,14,64,0.005,0,True,True,True,5.038020693367192,0.19849064957524895,5.038020693367192e-06,1.3542733693786258e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,14,64,0.005,0,True,True,True,5.26822926379585,0.18981709981229686,5.26822926379585e-06,9.448047663338009e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,14,64,0.005,589840,False,True,True,1.0874997921443235,0.9195404056383385,1.0874997921443235e-06,2.36445847325347e-08,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,16,64,0.005,0,True,True,True,5.6369790399912745,0.1773999855074054,5.6369790399912745e-06,4.182261956281747e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,16,64,0.005,0,True,True,True,5.038020693367192,0.19849064957524895,5.038020693367192e-06,1.3542733693786258e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,16,64,0.005,0,True,True,True,5.26822926379585,0.18981709981229686,5.26822926379585e-06,9.448047663338009e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,16,64,0.005,2031616,False,False,True,0.9656250767875463,1.0355986231496934,9.656250767875463e-07,2.706349994153544e-08,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,18,64,0.005,0,True,True,True,5.6369790399912745,0.1773999855074054,5.6369790399912745e-06,4.182261956281747e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,18,64,0.005,0,True,True,True,5.038020693367192,0.19849064957524895,5.038020693367192e-06,1.3542733693786258e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,18,64,0.005,0,True,True,True,5.26822926379585,0.18981709981229686,5.26822926379585e-06,9.448047663338009e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,18,64,0.005,7340048,False,False,True,0.8333336154464632,1.1999995937572305,8.333336154464632e-07,3.2521181685602264e-09,3,True
