profile,task,measurement_mode,block_width,batch_size,input_width,output_width,lut_table_bytes,cache_level_fit,theoretical_ops,theoretical_continuous_ops,predicted_l1_w,predicted_l2_w,predicted_l3_w,backend,processed_bits,packed_word_bits,build_init_s,kernel_build_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,samples_s,warmups,repeats,correctness_passed,timed,skip_reason,affinity_status,frequency_lock_status,cache_flush_bytes,measurement_order,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes,round_index,probe_iterations,probe_before_ns_per_iter,probe_after_ns_per_iter,probe_ns_per_iter,throughput_norm_Mbit_s,normalization_note,normalization_reference_probe_ns_per_iter
bch_255_239_r16,syndrome,natural,14,1000,255,16,622592,L2,570,546.4285714285714,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.0021620000479742,0.0065300000132992,0.0142327999928966,0.0233828000491485,650.6762637658385,2.551671622611132,1.5368625777317029,0.0003918999573215,0.0003814999945461,0.0004123999970033,1.2324892523247613e-05,0.0313084710433005,0.000381499994546;0.000412399997003;0.000398100004531;0.000384400016628;0.000391899957322,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,628.0120928521993,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,14,1000,255,24,933888,L2,722,692.1428571428572,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.0880096000619232,0.0025589999277144,0.0110952000832185,0.0140290000708773,0.0281700999476015,618.6317389517707,2.4260068194187085,1.6164705705116778,0.0004121999954804,0.0004057000624015,0.0004230999620631,6.701691664635866e-06,0.0162370782363125,0.000408299965784;0.000423099962063;0.000414400012232;0.000405700062402;0.00041219999548,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,597.0837338300555,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,15,1000,255,16,1114112,L3,527,527.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.0024334999034181,0.0070052000228315,0.0152029000455513,0.0251240999205037,581.9261134467679,2.282063189987325,1.7184312181437718,0.0004381999606266,0.0004330000374466,0.0004484000382944,6.186109398076964e-06,0.014083665388504,0.000433000037447;0.00043460004963;0.000438199960627;0.000448400038294;0.000441999989562,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,561.6566282531084,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,15,1000,255,24,1671168,L3,663,663.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.0880096000619232,0.0039983999449759,0.0093465000391006,0.0162598999449983,0.0300848000915721,530.9181226764808,2.082031853633258,1.8835296014360352,0.0004803000483661,0.0004779000300914,0.0004853999707847,2.977719356673558e-06,0.0061935174568156,0.000477900030091;0.000480300048366;0.000485399970785;0.000481699942611;0.000478600035422,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,512.4253333378205,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,16,1000,255,16,2097152,L3,512,510.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.0030791999306529,0.0069796000607311,0.0147611000575125,0.0253853999311104,606.1327170708828,2.376991047336795,1.649803701130783,0.0004206999437883,0.0004122999962419,0.0004321000305935,7.845266633827461e-06,0.0186729815271044,0.000412299996242;0.000432100030594;0.000421700067818;0.000420699943788;0.000413900008425,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,585.0200743312565,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,16,1000,255,24,3145728,L3,640,637.5,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.0880096000619232,0.0034437999129295,0.0104958000592887,0.0162732999306172,0.030761000001803,558.1090117691842,2.188662791251703,1.7917646533426117,0.0004568999866023,0.0004308000206947,0.0008906000293791,0.0002269029374944,0.3701878522924545,0.000456899986602;0.000430800020695;0.000456799985841;0.000890600029379;0.000829599914141,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,538.6691171002569,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,17,1000,255,16,3932160,L3,495,495.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.0059607999864965,0.0076247999677434,0.0152849999722093,0.029564999975264,594.2670598796888,2.3304590583517206,1.682745128431741,0.00042910000775,0.0004200000548735,0.0004377999575808,6.777861136898499e-06,0.015758803212472,0.000429000006989;0.000420000054874;0.00042910000775;0.000434599933214;0.000437799957581,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,573.5677183430715,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,17,1000,255,24,5898240,L3,615,615.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.0880096000619232,0.0057340000057592,0.0108518999768421,0.0264298999682068,0.0435001000296324,415.1741966945025,1.6281341046843236,2.4086275302311955,0.0006142000202089,0.0004741000011563,0.0011522999266162,0.0002797344563906,0.3984821371340514,0.000778799992986;0.00115229992662;0.00049060001038;0.000474100001156;0.000614200020209,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,400.7129669297061,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,18,1000,255,16,7864320,L3,510,481.6666666666666,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.0050300000002607,0.0067048999480903,0.0147815999807789,0.0270221999380737,587.6929568227715,2.3046782620500847,1.7015688011751455,0.0004339000442996,0.0004226999590173,0.0008064000867307,0.0001641268758748,0.3154829979465572,0.000806400086731;0.000511899939738;0.0004339000443;0.000422699959017;0.00042629998643,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,567.2226025776586,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,18,1000,255,24,11796480,L3,630,595.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.0880096000619232,0.0067684000823646,0.0130224999738857,0.0148736999835819,0.0352260000072419,554.8302785608878,2.175805013964266,1.8023529692607767,0.0004596000071614,0.0004381000762805,0.0005752000724896,5.678276921583012e-05,0.1194169669920612,0.000438100076281;0.000441599986516;0.000459600007161;0.000462999916635;0.00057520007249,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,535.5045877963461,throughput scaled by row_probe/reference_probe,104.44500017911196
