preset,workload_type,code_profile,n,r,num_blocks,window_len,num_iterations_or_steps,num_syndrome_calls,num_candidate_tests,num_executed_candidate_tests,num_event_updates,backend_or_method,block_width,batch_size,density,total_runtime_s,latency_per_component_us,throughput_Mcomponent_s,mean,std,repeats,correctness_passed,notes
lightweight,product_like,ebch_256_239_r17,256,17,32,4,1,64,0,0,0,EventUpdate.integrated,8,64,0.05,0.0003670666677256425,5.735416683213164,0.17435524831646024,0.0003670666677256425,5.204148701658575e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,32,4,3,192,0,0,0,Naive.apply_many,8,64,0.05,0.0012092999919938545,6.298437458301326,0.15876953714639214,0.0012092999919938545,4.070099402401293e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,32,4,3,192,0,0,0,PackedBatch.apply_many,8,64,0.05,0.0010967333219014108,5.712152718236514,0.175065347396511,0.0010967333219014108,8.113131090231667e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,32,4,3,192,0,0,0,PackedBlockLUT.apply_many_packed,8,64,0.05,0.0004610999991806845,2.401562495732732,0.4163955765368886,0.0004610999991806845,7.979514184013236e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,32,4,3,192,0,0,0,EventUpdate.integrated,8,64,0.05,0.0013637999848773081,7.10312492123598,0.1407831075883704,0.0013637999848773081,8.203579908296275e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,32,8,1,64,0,0,0,Naive.apply_many,8,64,0.05,0.0004652333251821498,7.269270705971091,0.1375653817897557,0.0004652333251821498,5.707290585302658e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,32,8,1,64,0,0,0,PackedBatch.apply_many,8,64,0.05,0.00041366665391251445,6.463541467383038,0.15471394514080228,0.00041366665391251445,3.7581067086958416e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,32,8,1,64,0,0,0,PackedBlockLUT.apply_many_packed,8,64,0.05,0.00013746666566779217,2.1479166510592527,0.4655674136642343,0.00013746666566779217,8.386560942532524e-07,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,32,8,1,64,0,0,0,EventUpdate.integrated,8,64,0.05,0.0004021333491740127,6.283333580843949,0.15915118736473077,0.0004021333491740127,2.862106063258507e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,32,8,3,192,0,0,0,Naive.apply_many,8,64,0.05,0.001193499988100181,6.21614577135511,0.16087138828181013,0.001193499988100181,3.810632665542942e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,32,8,3,192,0,0,0,PackedBatch.apply_many,8,64,0.05,0.0011792000150308013,6.14166674495209,0.1628222502990596,0.0011792000150308013,7.626924990818328e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,32,8,3,192,0,0,0,PackedBlockLUT.apply_many_packed,8,64,0.05,0.0003855666533733408,2.00815965298615,0.4979683754292104,0.0003855666533733408,2.7061631037826577e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,32,8,3,192,0,0,0,EventUpdate.integrated,8,64,0.05,0.0010509333418061335,5.473611155240279,0.18269474605309305,0.0010509333418061335,5.200327827345271e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,8,4,1,512,0,0,512,Naive.apply_many,8,64,0.05,0.0007995333289727569,6.246354132599663,0.1600933886826892,0.0007995333289727569,2.0761554994027894e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,8,4,1,512,0,0,512,PackedBatch.apply_many,8,64,0.05,0.0007747666677460074,6.052864591765683,0.16521103104807597,0.0007747666677460074,7.056587933294261e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,8,4,1,512,0,0,512,PackedBlockLUT.apply_many_packed,8,64,0.05,0.00015316666880001625,1.196614600000127,0.8356909568042157,0.00015316666880001625,2.6312428183438873e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,8,4,1,512,0,0,512,EventUpdate.integrated,8,64,0.05,0.00042483332799747586,3.31901037498028,0.30129462912749755,0.00042483332799747586,2.016437402544708e-05,3,True,trace-level workload only; no BER; no full decoder
