profile,task,measurement_mode,block_width,batch_size,input_width,output_width,lut_table_bytes,cache_level_fit,theoretical_ops,theoretical_continuous_ops,predicted_l1_w,predicted_l2_w,predicted_l3_w,backend,processed_bits,packed_word_bits,build_init_s,kernel_build_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,samples_s,warmups,repeats,correctness_passed,timed,skip_reason,affinity_status,frequency_lock_status,cache_flush_bytes,measurement_order,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes,round_index,probe_iterations,probe_before_ns_per_iter,probe_after_ns_per_iter,probe_ns_per_iter,throughput_norm_Mbit_s,normalization_note,normalization_reference_probe_ns_per_iter
bch_255_239_r16,syndrome,natural,16,1000,255,16,2097152,L3,512,510.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.0440262000774965,0.0031479999888688326,0.006746700033545494,0.01491809997241944,0.025317999999970198,551.7688744668076,2.1637995077129712,1.8123530454057104,0.00046215002657845616,0.00042910000775009394,0.0009510999079793692,0.0002507308806689246,0.4352022287769222,0.000951099907979;0.000476200017147;0.00044810003601;0.00042910000775,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,551.7688744668076,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_231_r24,syndrome,natural,16,1000,255,24,3145728,L3,640,637.5,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08473640005104244,0.00393499992787838,0.009112900006584823,0.013971299980767071,0.027581100002862513,609.6103512400404,2.3906288283923147,1.6403920930244176,0.00041829998372122645,0.00041069998405873775,0.00042699999175965786,6.8222017395278304e-06,0.01629863697239572,0.000410699984059;0.00042009993922;0.00042699999176;0.000416500028223,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,609.6103512400404,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_239_r16,syndrome,natural,17,1000,255,16,3932160,L3,495,495.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.0440262000774965,0.004215499968267977,0.006898900028318167,0.015645100036635995,0.027290300000458956,589.7999656852793,2.312941041903056,1.6954900952530843,0.0004323499742895365,0.0004311000229790807,0.000508400029502809,3.824157533272969e-05,0.0847834504162325,0.000508400029503;0.000431700027548;0.000431100022979;0.000432999921031,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,589.7999656852793,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_231_r24,syndrome,natural,17,1000,255,24,5898240,L3,615,615.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08473640005104244,0.005137000000104308,0.009165600058622658,0.014991699950769544,0.029773599933832884,590.0045846839251,2.3137434693487258,1.6949020837451898,0.0004322000313550234,0.00042479997500777245,0.00044059997890144587,7.91182579620064e-06,0.018295353729186743,0.000437800073996;0.000426599988714;0.000424799975008;0.000440599978901,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,590.0045846839251,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_239_r16,syndrome,natural,18,1000,255,16,7864320,L3,510,481.66666666666663,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.0440262000774965,0.004979799967259169,0.00633240002207458,0.014020100003108382,0.025802899966947734,622.1787915815127,2.4399168297314224,1.6072550423297227,0.0004098500357940793,0.00040259992238134146,0.00042370008304715157,1.0578958110078284e-05,0.025708280960113863,0.00041700003203;0.000402700039558;0.000402599922381;0.000423700083047,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,622.1787915815127,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_231_r24,syndrome,natural,18,1000,255,24,11796480,L3,630,595.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08473640005104244,0.007457899977453053,0.00926439999602735,0.014796199975535274,0.032013799995183945,588.2353171230027,2.306805165188246,1.6999999335145248,0.00043349998304620385,0.00042949989438056946,0.00044160010293126106,5.265921245794262e-06,0.012118799509046515,0.000431800028309;0.000435199937783;0.000441600102931;0.000429499894381,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,588.2353171230027,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_239_r16,syndrome,natural,19,1000,255,16,14680064,L3,490,469.7368421052631,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.0440262000774965,0.009357300004921854,0.006689899950288236,0.01529630005825311,0.031846500001847744,572.9693128278799,2.2469384816779607,1.7452941677880054,0.00044505001278594136,0.0004398999735713005,0.0004513000603765249,4.6949798387445986e-06,0.01054281632935106,0.000451300060377;0.000444400007837;0.000439899973571;0.000445700017735,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,572.9693128278799,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_231_r24,syndrome,natural,19,1000,255,24,22020096,DRAM,602,577.1052631578947,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08473640005104244,0.015904499916359782,0.00915360008366406,0.014979700092226267,0.04053520003799349,569.8324363178886,2.23463700516819,1.7549018558187812,0.0004474999732337892,0.00043990008998662233,0.0004659000551328063,1.1582166261435033e-05,0.025726711844462236,0.000451699947007;0.000465900055133;0.000443299999461;0.000439900089987,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,569.8324363178886,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_239_r16,syndrome,natural,20,1000,255,16,27262976,DRAM,468,459.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.0440262000774965,0.015347699983976781,0.0064097000285983086,0.014206600026227534,0.03649650001898408,606.2047647844227,2.377273587389893,1.6496076212063724,0.00042064994340762496,0.00041990005411207676,0.0004757000133395195,2.7652547380319255e-05,0.063682533498578,0.000420499942265;0.00047570001334;0.000419900054112;0.00042079994455,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,606.2047647844227,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_231_r24,syndrome,natural,20,1000,255,24,40894464,DRAM,572,561.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08473640005104244,0.03100399998947978,0.008922699955292046,0.014152899966575205,0.054578499984927475,616.0908306580405,2.416042473168786,1.6231372879416335,0.00041390000842511654,0.0004097999772056937,0.0004192999331280589,4.193929024366361e-06,0.010124761201466716,0.000409799977206;0.000411999993958;0.000415800022893;0.000419299933128,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,616.0908306580405,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_239_r16,syndrome,natural,21,1000,255,16,54525952,DRAM,481,449.2857142857143,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.0440262000774965,0.03157310001552105,0.006491800071671605,0.01457620004657656,0.053151800064370036,562.4172690491752,2.205557917839903,1.778039286899216,0.0004534000181593001,0.00044189998880028725,0.00045980000868439674,8.01306249194686e-06,0.017723112728055306,0.0004418999888;0.000456999987364;0.000449800048955;0.000459800008684,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,562.4172690491752,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_231_r24,syndrome,natural,21,1000,255,24,81788928,DRAM,585,546.4285714285714,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08473640005104244,0.07479979994241148,0.009218799998052418,0.01745769998524338,0.10197760001756251,580.0067841967501,2.274536408614707,1.724117764217012,0.0004396500298753381,0.0004333999240770936,0.0004545999690890312,1.0356438644494248e-05,0.023440137883558913,0.000454599969089;0.000433400040492;0.000445900019258;0.000433399924077,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,580.0067841967501,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_239_r16,syndrome,natural,22,1000,255,16,100663296,DRAM,456,440.4545454545455,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.0440262000774965,0.06786660000216216,0.006448800093494356,0.01387969998177141,0.08866389992181212,622.2547046458601,2.440214528022981,1.6070589624053122,0.00040980003541335464,0.0004078999627381563,0.0004171000327914953,4.3239688861496474e-06,0.01051676690182671,0.000417100032791;0.000407899962738;0.000411599990912;0.000408000079915,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,622.2547046458601,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_231_r24,syndrome,natural,22,1000,255,24,150994944,DRAM,552,533.1818181818182,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08473640005104244,0.1631190999178216,0.009503900073468685,0.014858200098387897,0.1879827999509871,567.2339880896659,2.224447012116337,1.7629409044542734,0.0004495499306358397,0.00042200007010251284,0.00048120005521923304,2.634164114334097e-05,0.05846227895308372,0.000462299911305;0.000481200055219;0.000436799949966;0.000422000070103,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,567.2339880896659,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_239_r16,syndrome,natural,23,1000,255,16,201326592,DRAM,468,432.3913043478261,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.0440262000774965,0.1468178000068292,0.0067070999648422,0.014968400006182492,0.16902550007216632,564.9717482210134,2.215575483219661,1.770000009998387,0.0004513500025495887,0.00044350000098347664,0.00045739999040961266,6.12479810322498e-06,0.013583495487107564,0.000454099965282;0.00045739999041;0.000443500000983;0.000448600039817,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,564.9717482210134,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_231_r24,syndrome,natural,23,1000,255,24,301989888,DRAM,564,521.0869565217391,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08473640005104244,0.3075534999370575,0.009221300017088652,0.0165436000097543,0.33381540002301335,535.6017459021124,2.1003990035376954,1.8670588877855563,0.00047610001638531685,0.0004699999699369073,0.0005003999685868621,1.3968890651380698e-05,0.029062500488806417,0.00047159998212;0.000500399968587;0.000480600050651;0.000469999969937,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,535.6017459021124,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_239_r16,syndrome,natural,24,1000,255,16,369098752,DRAM,440,425.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.0440262000774965,0.26275929994881153,0.006451900000683963,0.015892700059339404,0.28563379996921867,529.5950163507314,2.0768432013754174,1.8882352913565494,0.00048149999929592013,0.0004552999744191766,0.0008689999813213944,0.0001988070746022394,0.34767119061175294,0.000455299974419;0.000868999981321;0.000494999927469;0.000468000071123,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,529.5950163507314,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_231_r24,syndrome,natural,24,1000,255,24,553648128,DRAM,528,510.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08473640005104244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30,4,False,False,lut_table_bytes>402653184,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,67108864,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,0.0,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_239_r16,syndrome,natural,4,1000,255,16,2048,L1,1280,1275.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,0.06823949993122369,0.0024032999062910676,0.007118700072169304,0.022755800047889352,0.032779800007119775,395.31821440308744,1.550267507463088,2.5296077022657677,0.0006450499640777707,0.0006336000515148044,0.0006516999565064907,8.00015938407712e-06,0.012425502185813208,0.000641699996777;0.000651699956506;0.000648399931379;0.000633600051515,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,1,50000,95.94399947673082,105.4759998805821,100.70999967865646,382.68736219005086,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_231_r24,syndrome,natural,4,1000,255,24,3072,L1,1792,1785.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08979599992744625,0.0025448999367654324,0.010915899998508394,0.02223150001373142,0.03621469996869564,392.06641776149837,1.537515363770582,2.550588254177687,0.0006504000048153102,0.0006374999647960067,0.0007558000506833196,5.5212732759616025e-05,0.08197577260682856,0.000648300047033;0.000652499962598;0.000637499964796;0.000755800050683,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,1,50000,95.94399947673082,105.4759998805821,100.70999967865646,379.53946403153265,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_239_r16,syndrome,natural,5,1000,255,16,3264,L1,1071,1071.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,0.06823949993122369,0.0022345000179484487,0.007999100023880601,0.020652600098401308,0.03138940001372248,395.50212034048707,1.5509887072175963,2.5284314509846415,0.0006447500200010836,0.0006103001069277525,0.0006638000486418605,2.585611703270622e-05,0.040343446809480876,0.000610300106928;0.000663800048642;0.000628700014204;0.000660800025798,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,1,50000,95.94399947673082,105.4759998805821,100.70999967865646,382.865392130262,throughput scaled by row_probe/reference_probe,104.03400054201484
