dataset,raw_cv,norm_cv,count,task,backend,batch_size,profile,block_width
fig4_width,0.05419971842248164,0.04519250213206948,6,syndrome,,,bch_255_239_r16,12.0
fig4_width,0.0695505017457596,0.0638361906002246,6,syndrome,,,bch_255_239_r16,13.0
fig4_width,0.037986120122883875,0.026575806936964003,6,syndrome,,,bch_255_239_r16,14.0
fig4_width,0.05242326234478995,0.05130124353356965,6,syndrome,,,bch_255_239_r16,15.0
fig4_width,0.0574647859018859,0.08058509017266305,6,syndrome,,,bch_255_239_r16,16.0
fig4_width,0.060449879971093856,0.059939530543350585,6,syndrome,,,bch_255_239_r16,17.0
fig4_width,0.038991502446002184,0.06137587298636016,6,syndrome,,,bch_255_239_r16,18.0
fig4_width,0.037264469554472344,0.06472894631672804,6,syndrome,,,bch_255_239_r16,19.0
fig4_width,0.05857912941191535,0.06984281791366165,6,syndrome,,,bch_255_239_r16,20.0
fig4_width,0.03548379461451217,0.07269215464493284,6,syndrome,,,bch_255_239_r16,21.0
fig4_width,0.05017076716837759,0.06995146196054064,6,syndrome,,,bch_255_239_r16,22.0
fig4_width,0.04405042765539012,0.05654048140526219,6,syndrome,,,bch_255_239_r16,23.0
fig4_width,0.06481125647348922,0.09281871576740017,6,syndrome,,,bch_255_239_r16,24.0
fig4_width,0.0315876329023923,0.08746262629248952,3,syndrome,,,bch_511_484_r27,4.0
fig4_width,0.02094083291273295,0.08737787180296229,3,syndrome,,,bch_511_484_r27,5.0
fig4_width,0.0374824118127245,0.07904365636625184,3,syndrome,,,bch_511_484_r27,6.0
fig4_width,0.05324811449916582,0.07799787096400816,3,syndrome,,,bch_511_484_r27,7.0
fig4_width,0.06290930648372513,0.10764422009552269,3,syndrome,,,bch_511_484_r27,8.0
fig4_width,0.010130097184575955,0.09867863856168539,3,syndrome,,,bch_511_484_r27,9.0
fig4_width,0.04190126659771539,0.061157106933955784,3,syndrome,,,bch_511_484_r27,10.0
fig4_width,0.04309043827387678,0.05768576249497318,3,syndrome,,,bch_511_484_r27,11.0
fig4_width,0.006618323495285889,0.0926749577938971,3,syndrome,,,bch_511_484_r27,12.0
fig4_width,0.006154358093254184,0.08827873192506108,3,syndrome,,,bch_511_484_r27,13.0
fig4_width,0.0642066435791901,0.11795815345556178,3,syndrome,,,bch_511_484_r27,14.0
fig4_width,0.02265290134770303,0.0778757002206089,3,syndrome,,,bch_511_484_r27,15.0
fig4_width,0.04050078719227103,0.10032142047617794,3,syndrome,,,bch_511_484_r27,16.0
fig4_width,0.06924433859967077,0.13933845520841112,3,syndrome,,,bch_511_484_r27,17.0
fig4_width,0.0633138891184168,0.03874003819946588,3,syndrome,,,bch_511_484_r27,18.0
fig4_width,0.015849205322899233,0.08258752186710515,3,syndrome,,,bch_511_484_r27,19.0
fig4_width,0.10598604051834674,0.08015442237859062,3,syndrome,,,bch_511_484_r27,20.0
