task,mode,batch_size,direct_median_Mbit_s,lut_median_Mbit_s,lut_vs_direct_median,direct_min_Mbit_s,lut_min_Mbit_s,lut_vs_direct_min,direct_cv,lut_cv
parity,bulk,300000,35.6887279912304,229.2135003705677,6.422574108746355,35.6887279912304,229.2135003705677,6.422574108746355,,
parity,stream_chunked,10,34.91337374497637,54.456672916307745,1.5597654157998246,33.61464652109558,52.41228302935147,1.559209703319624,0.052606707883670153,0.05309182052593143
parity,stream_chunked,30,37.54100615358014,133.47892421704586,3.5555499943444238,37.28550094599732,124.69571252212398,3.344348590159155,0.009625179685977052,0.0930584148247593
parity,stream_chunked,100,38.57575906515008,292.5186368888491,7.582965156818257,36.92259932733422,282.5057027624537,7.65129508510284,0.060605960288165735,0.048408632664582764
parity,stream_chunked,300,18.49400803142325,469.0986357636031,25.364898456113764,18.122077707541173,466.79685848899584,25.75846246894454,0.028441044656092693,0.006939275434073553
parity,stream_chunked,500,28.855039805236597,510.46505180614065,17.690672244836126,18.29454982824373,493.8016935756055,26.99173787885494,0.5175798838460826,0.046164859123898616
parity,stream_chunked,700,18.416918483477563,515.0134265583844,27.964147586384783,16.322588123324735,513.1903081155783,31.44049854337971,0.1608211711462488,0.005006236138071918
parity,stream_chunked,1000,18.511296229288916,542.41384937828,29.30177566496196,17.980740388908803,538.1670727583956,29.930195371173777,0.04053304834885861,0.01107244790872005
parity,stream_chunked,1500,17.052073224931725,511.53881936632376,29.998629059275103,13.579494030377193,508.58276878735006,37.45226203934075,0.2879983289171761,0.008172374532638891
parity,stream_chunked,2000,16.763671549866444,394.6611129236761,23.5426417029043,16.076737851386486,367.805478469212,22.878116311232368,0.05795096557169225,0.09623345505282191
parity,stream_chunked,3000,17.737416273999646,378.52300256703404,21.340368671501,17.52632004324594,232.3094878738188,13.254892487447366,0.016830813906946542,0.5462736321942916
parity,stream_chunked,5000,16.361023582916733,274.2498161498071,16.762387436209274,15.427018592657747,252.06184422309377,16.338986221424452,0.08073348943324063,0.11441586820671251
parity,stream_chunked,7000,17.78390756060665,283.1364502846609,15.920935785329872,17.277685338219875,274.12747732187387,15.865983895162042,0.04025585097281089,0.04499813335307669
parity,stream_chunked,10000,17.59676414087248,264.256046967607,15.017309140026054,17.343800581018407,257.9879103854355,14.874935235809012,0.020330129691337115,0.03354505551352817
parity,stream_chunked,30000,17.388782970423946,268.26340161519784,15.427382242419089,17.23037881631134,263.7144388287782,15.305202609888637,0.012882862674363471,0.023980926315521445
parity,stream_chunked,100000,17.353910723592612,253.32741137662063,14.597713184741837,17.30483870793369,247.33673178485208,14.292923266106863,0.003999001215529286,0.033443283063889905
parity,stream_chunked,300000,35.77227757413065,506.3702366508678,14.155381513003197,35.77227757413065,506.3702366508678,14.155381513003197,,
syndrome,bulk,10,35.812554773107166,55.970422426059756,1.5628715343170603,33.508542543759006,52.36137310161834,1.5626275906580929,0.09098388437410371,0.09119042309607614
syndrome,bulk,30,38.49388980070795,138.37967168405677,3.594847712207869,38.13559054586944,127.92644347003376,3.354515864023765,0.01316343108488527,0.10682997676569615
syndrome,bulk,100,36.8709088332076,288.9676048214325,7.837279144070765,36.24733466765536,286.8392146822149,7.913387765257416,0.023917692022693424,0.010416386303103695
