profile,task,backend,baseline_role,batch_size,input_width,output_width,processed_bits,block_width,packed_word_bits,chunked_online,chunk_size,build_init_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,median_runtime_s,min_runtime_s,max_runtime_s,cv,throughput_Mbit_s,throughput_Mcodeword_s,samples_s,warmups,repeats,correctness_passed,timed,galois_available,galois_version,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes,round_index,probe_iterations,probe_before_ns_per_iter,probe_after_ns_per_iter,probe_ns_per_iter,throughput_norm_Mbit_s,normalization_note,normalization_reference_probe_ns_per_iter,source_file,affinity_status
bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,1,255,16,255,14.0,16,False,1,2.537496999953873,9.959994349628688e-05,0.0015569000970572,0.0017084999708458,4.339998122304678e-05,4.330009687691927e-05,4.379998426884413e-05,0.0045970666554532,5.875578578927745,0.023041484623246,4.37999842688e-05;4.35999827459e-05;4.3399981223e-05;4.3399981223e-05;4.33000968769e-05,30,5,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep,0,50000,90.42399935424328,95.37599980831146,92.89999958127736,5.875578578927744,throughput scaled by row_probe/reference_probe,92.89999958127736,round32_fig3_throughput_rounds_worker.csv,
bch_255_239_r16,syndrome,galois_per_codeword,"naive library-call baseline, per-codeword",10,255,16,2550,,16,False,10,2.537496999953873,0.0006060999585315,0.0135261000832542,0.0142391000408679,0.0003622999647632,0.0003594000590965,0.0003958999877795,0.0411775941962726,7.038366679573142,0.0276014379591103,0.000359400059097;0.000362299964763;0.000362199964002;0.00039589998778;0.000376200070605,30,5,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword galois GF(2) matmul",0,50000,90.42399935424328,95.37599980831146,92.89999958127736,7.038366679573142,throughput scaled by row_probe/reference_probe,92.89999958127736,round32_fig3_throughput_rounds_worker.csv,
bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,10,255,16,2550,,16,False,10,2.537496999953873,0.0001640000846236,0.0026070000603795,0.0028878999873995,6.62999227643013e-05,6.500002928078175e-05,6.679992657154799e-05,0.0110891523581848,38.46158326707778,0.1508297383022658,6.67999265715e-05;6.50000292808e-05;6.57000346109e-05;6.62999227643e-05;6.6600041464e-05,30,5,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA,0,50000,90.42399935424328,95.37599980831146,92.89999958127736,38.46158326707778,throughput scaled by row_probe/reference_probe,92.89999958127736,round32_fig3_throughput_rounds_worker.csv,
bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,10,255,16,2550,14.0,16,False,10,2.537496999953873,0.0001757000572979,0.0014993000077083,0.0017585000023245,4.259997513145208e-05,4.1199964471161366e-05,4.290009383112192e-05,0.0167434501335194,59.85918987350074,0.2347419210725519,4.29000938311e-05;4.25999751315e-05;4.21999720857e-05;4.28999774158e-05;4.11999644712e-05,30,5,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep,0,50000,90.42399935424328,95.37599980831146,92.89999958127736,59.85918987350074,throughput scaled by row_probe/reference_probe,92.89999958127736,round32_fig3_throughput_rounds_worker.csv,
bch_255_239_r16,syndrome,galois_per_codeword,"naive library-call baseline, per-codeword",100,255,16,25500,,16,False,100,2.537496999953873,0.0040600000647827,0.1225883000297471,0.1267860999796539,0.0033283999655395,0.0031844999175518,0.0040125000523403,0.098888233442615,7.661338860717762,0.0300444661204618,0.00318449991755;0.00323210004717;0.00332839996554;0.00401250005234;0.00360970001202,30,5,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword galois GF(2) matmul",0,50000,90.42399935424328,95.37599980831146,92.89999958127736,7.661338860717762,throughput scaled by row_probe/reference_probe,92.89999958127736,round32_fig3_throughput_rounds_worker.csv,
bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,100,255,16,25500,,16,False,100,2.537496999953873,0.0013506000395864,0.0215748999034985,0.0230744000291451,0.0005810000002384,0.0005719000473618,0.0005868000444024,0.0104303664157907,43.88984507665378,0.1721170395162893,0.000580699997954;0.000586599926464;0.000581000000238;0.000571900047362;0.000586800044402,30,5,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA,0,50000,90.42399935424328,95.37599980831146,92.89999958127736,43.88984507665378,throughput scaled by row_probe/reference_probe,92.89999958127736,round32_fig3_throughput_rounds_worker.csv,
bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,100,255,16,25500,14.0,16,False,100,2.537496999953873,0.0007382000330835,0.0026713999686762,0.003547600004822,7.370009552687407e-05,7.349997758865356e-05,7.449998520314693e-05,0.0056103426209324,345.99683782908613,1.3568503444277886,7.44999852031e-05;7.37000955269e-05;7.41999829188e-05;7.34999775887e-05;7.36999791116e-05,30,5,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep,0,50000,90.42399935424328,95.37599980831146,92.89999958127736,345.99683782908613,throughput scaled by row_probe/reference_probe,92.89999958127736,round32_fig3_throughput_rounds_worker.csv,
bch_255_239_r16,syndrome,galois_per_codeword,"naive library-call baseline, per-codeword",1000,255,16,255000,,16,False,1000,2.537496999953873,0.0424963000696152,1.2617074000881985,1.3046907000243664,0.0360116000520065,0.0331481000175699,0.0373347999993711,0.0430555498453189,7.081051650905236,0.0277688300035499,0.0373347999994;0.0331481000176;0.0360525000142;0.0355077999411;0.036011600052,30,5,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword galois GF(2) matmul",0,50000,90.42399935424328,95.37599980831146,92.89999958127736,7.081051650905236,throughput scaled by row_probe/reference_probe,92.89999958127736,round32_fig3_throughput_rounds_worker.csv,
bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,1000,255,16,255000,,16,False,1000,2.537496999953873,0.0133448999840766,0.2278619999997317,0.2416596999391913,0.0066380000207573,0.0059772999957203,0.0067678999621421,0.0491461755364967,38.41518517665017,0.1506477850064712,0.00666890002321;0.00597729999572;0.00637810002081;0.00676789996214;0.00663800002076,30,5,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA,0,50000,90.42399935424328,95.37599980831146,92.89999958127736,38.41518517665017,throughput scaled by row_probe/reference_probe,92.89999958127736,round32_fig3_throughput_rounds_worker.csv,
bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,1000,255,16,255000,14.0,16,False,1000,2.537496999953873,0.0064783999696373,0.0148539999499917,0.0217686999822035,0.0004324000328779,0.000417900038883,0.0004504000535234,0.0308940675077275,589.7316850389631,2.3126732746626004,0.000432400032878;0.000450400053523;0.000441999989562;0.000422799959779;0.000417900038883,30,5,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep,0,50000,90.42399935424328,95.37599980831146,92.89999958127736,589.7316850389631,throughput scaled by row_probe/reference_probe,92.89999958127736,round32_fig3_throughput_rounds_worker.csv,
