profile,task,measurement_mode,block_width,batch_size,input_width,output_width,lut_table_bytes,cache_level_fit,theoretical_ops,theoretical_continuous_ops,predicted_l1_w,predicted_l2_w,predicted_l3_w,backend,processed_bits,packed_word_bits,build_init_s,kernel_build_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,samples_s,warmups,repeats,correctness_passed,timed,skip_reason,affinity_status,frequency_lock_status,cache_flush_bytes,measurement_order,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes
bch_255_239_r16,syndrome,natural,9,1000,255,16,29696,L1,725,708.3333333333333,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.004777800058946,0.0020340000046417117,0.00616810005158186,0.013681799988262355,0.02235430001746863,637.8987522838956,2.5015637344466493,1.567646897598809,0.00039974995888769627,0.00038949993904680014,0.00040330004412680864,6.624406597989308e-06,0.016641102832553593,0.000403299927711;0.000403300044127;0.000389499939047;0.000396199990064,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,cache_flushed_dram_proxy,9,1000,255,16,29696,L1,725,708.3333333333333,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.004777800058946,0.0020441000815480947,0.006216500070877373,0.7949348000111058,0.8153820000588894,10.821087124345894,0.0424356357817486,92.41215679246713,0.02356509998207912,0.02330730005633086,0.023723799968138337,0.00017428492097090943,0.007403675225042947,0.0237237999681;0.0235340000363;0.0235961999279;0.0233073000563,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,67108864,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,cache-flushed DRAM proxy
bch_255_231_r24,syndrome,natural,9,1000,255,24,44544,L2,957,935.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08163749997038394,0.002169499988667667,0.009062099969014525,0.01466049998998642,0.026345500024035573,627.2291066530975,2.4597219868748925,1.594313767318632,0.0004065500106662512,0.00039980001747608185,0.0004140000091865659,7.834691006985557e-06,0.019262869938790273,0.000414000009187;0.000413000001572;0.000399800017476;0.00040010001976,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_231_r24,syndrome,cache_flushed_dram_proxy,9,1000,255,24,44544,L2,957,935.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08163749997038394,0.0021225999807938933,0.00858600006904453,0.796239500050433,0.8188422999810427,10.814065900637882,0.042408101571128946,92.4721570210714,0.023580400040373206,0.02344329992774874,0.024168699979782104,0.0003376094409589902,0.014249212474496908,0.0236986000091;0.0234432999277;0.0234622000717;0.0241686999798,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,67108864,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,cache-flushed DRAM proxy
bch_255_239_r16,syndrome,natural,10,1000,255,16,53248,L2,676,663.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.004777800058946,0.0020818000193685293,0.006269300007261336,0.014123599976301193,0.023066499968990684,635.5932679788347,2.4925226195248418,1.5733332154067123,0.00040119996992871165,0.0003963999915868044,0.0004053000593557954,4.172482742942783e-06,0.01040454526992875,0.000403700047173;0.000398699892685;0.000405300059356;0.000396399991587,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,cache_flushed_dram_proxy,10,1000,255,16,53248,L2,676,663.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.004777800058946,0.0020143999718129635,0.006288900040090084,0.8009911000262946,0.8213822999969125,10.71804602854642,0.04203155305312321,93.30058831027618,0.023791650019120425,0.02356759994290769,0.026102199917659163,0.0012030874627051494,0.0494827399417383,0.0236470999662;0.0235675999429;0.0239362000721;0.0261021999177,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,67108864,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,cache-flushed DRAM proxy
bch_255_231_r24,syndrome,natural,10,1000,255,24,79872,L2,884,867.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08163749997038394,0.0022274000803008676,0.00872649997472763,0.013689599931240082,0.025188500061631203,659.4259525984597,2.5859841278370967,1.5164704938583515,0.0003866999759338796,0.00038320000749081373,0.00040300004184246063,9.287282833589634e-06,0.02381965331222771,0.000383200007491;0.000403000041842;0.000383400009014;0.000389999942854,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_231_r24,syndrome,cache_flushed_dram_proxy,10,1000,255,24,79872,L2,884,867.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08163749997038394,0.0020892999600619078,0.008963400032371283,0.7971187999937683,0.8206769999815151,10.944346896303458,0.04291900743648415,91.37137277124852,0.02329970005666837,0.02324650005903095,0.023343299981206656,4.245597879584696e-05,0.0018223561840161808,0.023246500059;0.0233432999812;0.0233184000244;0.0232810000889,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,67108864,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,cache-flushed DRAM proxy
bch_255_239_r16,syndrome,natural,11,1000,255,16,98304,L2,648,625.909090909091,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.004777800058946,0.0020449000876396894,0.006284400005824864,0.013929700013250113,0.02277939999476075,618.7068762472315,2.426301475479339,1.6162742623219304,0.00041214993689209223,0.00040170003194361925,0.0004206000594422221,9.595314050054146e-06,0.023309399375733245,0.000420600059442;0.000419099931605;0.000401700031944;0.000405199942179,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,cache_flushed_dram_proxy,11,1000,255,16,98304,L2,648,625.909090909091,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.004777800058946,0.001959799905307591,0.006134400027804077,0.7973422999493778,0.8176724999211729,10.757836878067044,0.04218759560026292,92.95549015423246,0.02370364998932928,0.023124399944208562,0.02424230007454753,0.00048192054429512665,0.02033977860207538,0.023514600005;0.0231243999442;0.0238926999737;0.0242423000745,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,67108864,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,cache-flushed DRAM proxy
