index,profile,task,block_width,throughput_median_Mbit_s,throughput_min_Mbit_s,throughput_max_Mbit_s,throughput_std_Mbit_s,round_count,cache_level_fit,theoretical_ops,throughput_cv
38,bch_255_239_r16,syndrome,5,390.685976301443,373.3018459265727,436.3056762931649,21.447855085516682,6,L1,1071,0.05489793948725736
39,bch_255_239_r16,syndrome,6,453.91163321540694,416.37994134888976,479.4559191231318,21.546648590426948,6,L1,946,0.04746881774717995
40,bch_255_239_r16,syndrome,7,495.4772414673008,477.5719035075614,533.3190831150476,18.667223268199816,6,L1,851,0.037675238549643386
41,bch_255_239_r16,syndrome,8,546.7010424164591,513.1483935113581,564.0136864050345,21.88889718654363,6,L1,768,0.040038147887542126
42,bch_255_239_r16,syndrome,9,530.236642104156,477.06507281816187,582.8695457338073,39.81524448790394,6,L1,725,0.07508957572208469
43,bch_255_239_r16,syndrome,10,563.5411973853934,538.1339088510775,593.0018484657828,19.368875080932543,6,L2,676,0.0343699363432459
44,bch_255_239_r16,syndrome,11,545.0199316190226,518.8199207712639,554.8891588309448,14.278367252620322,6,L2,648,0.02619788089254894
45,bch_255_239_r16,syndrome,12,543.756710482317,509.5526016119148,575.6207711634779,24.5737262977992,6,L2,616,0.04519250213206949
46,bch_255_239_r16,syndrome,13,572.0720881980859,491.3956617752161,595.2119422265984,36.5189028592815,6,L2,580,0.0638361906002246
47,bch_255_239_r16,syndrome,14,621.0342252587081,596.1919775304343,640.0574846545213,16.504485671722453,6,L2,570,0.02657580693696402
48,bch_255_239_r16,syndrome,15,541.8498774940426,485.91188566722633,561.6566282531084,27.797572523956777,6,L3,527,0.05130124353356968
49,bch_255_239_r16,syndrome,16,574.6214372464942,514.9080623755074,641.5540064284825,46.30592033565398,6,L3,512,0.08058509017266305
50,bch_255_239_r16,syndrome,17,537.1518409579062,488.00389042028434,573.5677183430715,32.19662917751344,6,L3,495,0.059939530543350626
51,bch_255_239_r16,syndrome,18,572.4485967479795,513.6352421674826,620.3767844017937,35.13453236522409,6,L3,510,0.061375872986360144
52,bch_255_239_r16,syndrome,19,538.2697347049523,510.7946728492518,608.5444281171306,34.8416327616363,6,L3,490,0.06472894631672804
53,bch_255_239_r16,syndrome,20,591.9993050747362,529.5394184634434,641.7040435886897,41.346899669349014,6,DRAM,468,0.06984281791366162
54,bch_255_239_r16,syndrome,21,551.4263884142445,517.6873260575948,618.1406717543487,40.08437230190509,6,DRAM,481,0.0726921546449329
55,bch_255_239_r16,syndrome,22,571.279262423391,531.9179841099078,630.4078279896933,39.961819594255545,6,DRAM,456,0.06995146196054064
56,bch_255_239_r16,syndrome,23,537.937440350034,490.856595137537,576.0920351997338,30.41524184330542,6,DRAM,468,0.05654048140526217
57,bch_255_239_r16,syndrome,24,561.6322102987392,483.5562738039458,623.1947791381242,52.12998049353539,6,DRAM,440,0.09281871576740017
58,bch_511_484_r27,syndrome,4,402.4097312805085,369.1812914735321,439.5369165137613,35.195811943448234,3,L1,3968,0.08746262629248949
59,bch_511_484_r27,syndrome,5,440.194688068861,395.6910219125126,472.282880297412,38.46327502242591,3,L1,3296,0.08737787180296229
60,bch_511_484_r27,syndrome,6,482.0527420568959,448.326419331604,524.3712121284705,38.1032112935547,3,L1,2838,0.07904365636625181
61,bch_511_484_r27,syndrome,7,506.8690209562016,486.6851077889488,562.9845852051675,39.53470449219496,3,L2,2482,0.07799787096400816
62,bch_511_484_r27,syndrome,8,521.1626639045188,504.8260838219985,609.12718354967,56.10014849890695,3,L2,2240,0.1076442200955227
63,bch_511_484_r27,syndrome,9,579.0040051871463,503.5574496309124,615.6056875457149,57.13532695363062,3,L2,2052,0.09867863856168539
64,bch_511_484_r27,syndrome,10,606.6001815758383,563.6611778601393,637.5324614837118,37.09791217079054,3,L2,1924,0.06115710693395579
65,bch_511_484_r27,syndrome,11,576.3288047381587,520.1644703779684,579.0696571175845,33.24596654913716,3,L2,1786,0.05768576249497311
66,bch_511_484_r27,syndrome,12,612.7833036099429,535.0317267729409,645.6098023927244,56.789666798856295,3,L2,1677,0.0926749577938971
67,bch_511_484_r27,syndrome,13,615.2920081842567,534.3507721137275,637.5705837968748,54.317198246130445,3,L3,1600,0.08827873192506101
68,bch_511_484_r27,syndrome,14,564.2372938970002,477.2538285332672,608.0076173133527,66.55638929885332,3,L3,1517,0.11795815345556188
69,bch_511_484_r27,syndrome,15,592.4294309641141,533.7361621528589,624.7421590773803,46.135856767627295,3,L3,1470,0.07787570022060895
70,bch_511_484_r27,syndrome,16,631.3343832088092,535.2590596742654,654.7924098093781,63.33636211895937,3,L3,1376,0.1003214204761779
71,bch_511_484_r27,syndrome,17,513.1037168869194,476.2999108392676,614.3627890218373,71.49507927271726,3,L3,1364,0.1393384552084111
72,bch_511_484_r27,syndrome,18,610.0692612187605,571.5166756570051,614.4781236571238,23.6341064839347,3,DRAM,1305,0.038740038199465865
73,bch_511_484_r27,syndrome,19,599.5541682999824,518.6345632477608,608.5354892845218,49.51569298498878,3,DRAM,1242,0.08258752186710505
74,bch_511_484_r27,syndrome,20,573.4496248867671,560.4662159135736,645.7728020243585,45.9645234460183,3,DRAM,1222,0.08015442237859065
