matrix_source,backend,component_n,output_r,num_words,chunk_words,iterations,density,block_width,total_runtime_s,throughput_Mword_s,throughput_Mbit_s,latency_per_word_us,table_size_bytes,repeats,mean,std,correctness_passed
galois_systematic_candidate,PackedBlockLUT.apply_many_packed,255,16,16384,4096,1,0.05,8,0.008943333329322437,1.831979128663572,467.15467780921085,0.5458577471510276,16128,3,0.008943333329322437,0.0009450723429711476,True
galois_systematic_candidate,Naive.apply_many,255,16,16384,4096,5,0.05,8,0.4697682333256428,0.1743838646135384,44.46788547645228,5.734475504463413,0,3,0.4697682333256428,0.0031704196607867875,True
galois_systematic_candidate,PackedBatch.apply_many,255,16,16384,4096,5,0.05,8,0.47015186665036407,0.17424157131108683,44.431600684327144,5.739158528446827,0,3,0.47015186665036407,0.001602447935072667,True
galois_systematic_candidate,PackedBlockLUT.apply_many,255,16,16384,4096,5,0.05,8,0.0401917333365418,2.0382300836356166,519.7486713270823,0.4906217448308325,16128,3,0.0401917333365418,0.0016284116139442066,True
galois_systematic_candidate,PackedBlockLUT.apply_many_packed,255,16,16384,4096,5,0.05,8,0.03889300000931447,2.106291620095673,537.1043631243965,0.474768066519952,16128,3,0.03889300000931447,0.000603873340877694,True
galois_systematic_candidate,Naive.apply_many,255,16,16384,4096,10,0.05,8,0.9384533999837004,0.17458512058547146,44.51920574929522,5.72786499013489,0,3,0.9384533999837004,0.007682070467894273,True
galois_systematic_candidate,PackedBatch.apply_many,255,16,16384,4096,10,0.05,8,0.9362030333334891,0.17500477371518813,44.626217297372975,5.714129842123346,0,3,0.9362030333334891,0.002055217506771187,True
galois_systematic_candidate,PackedBlockLUT.apply_many,255,16,16384,4096,10,0.05,8,0.08391110001442333,1.9525426310921659,497.89837092850235,0.5121527100489704,16128,3,0.08391110001442333,0.003728792538689322,True
galois_systematic_candidate,PackedBlockLUT.apply_many_packed,255,16,16384,4096,10,0.05,8,0.0790559333205844,2.072456716633813,528.4764627416223,0.4825191242711451,16128,3,0.0790559333205844,0.002074724800119835,True
galois_systematic_candidate,Naive.apply_many,255,16,65536,4096,1,0.05,8,0.3704561667012361,0.1769062196577043,45.1110860127146,5.652712504596498,0,3,0.3704561667012361,0.003226756284104439,True
galois_systematic_candidate,PackedBatch.apply_many,255,16,65536,4096,1,0.05,8,0.36779443331761286,0.17818649240785459,45.43755556400291,5.612097676355177,0,3,0.36779443331761286,0.0034963237083931752,True
galois_systematic_candidate,PackedBlockLUT.apply_many,255,16,65536,4096,1,0.05,8,0.03294309998940056,1.9893695499538966,507.2892352382436,0.5026718138031091,16128,3,0.03294309998940056,0.0007408099192105419,True
galois_systematic_candidate,PackedBlockLUT.apply_many_packed,255,16,65536,4096,1,0.05,8,0.030877133326915402,2.1224768279532182,541.2315911280706,0.471147664290091,16128,3,0.030877133326915402,0.0007087871582523527,True
galois_systematic_candidate,Naive.apply_many,255,16,65536,4096,5,0.05,8,1.8863990666577592,0.17370661690400924,44.295187310522365,5.756833089165525,0,3,1.8863990666577592,0.0215215118913057,True
galois_systematic_candidate,PackedBatch.apply_many,255,16,65536,4096,5,0.05,8,1.8881334000034258,0.17354705975722132,44.25450023809144,5.762125854502642,0,3,1.8881334000034258,0.01566012370862976,True
galois_systematic_candidate,PackedBlockLUT.apply_many,255,16,65536,4096,5,0.05,8,0.16526623332174495,1.9827401727130995,505.59874404184046,0.504352518682083,16128,3,0.16526623332174495,0.00436519755193728,True
galois_systematic_candidate,PackedBlockLUT.apply_many_packed,255,16,65536,4096,5,0.05,8,0.15370533334013695,2.1318713728356564,543.6272000730925,0.4690714518436796,16128,3,0.15370533334013695,0.001713572779962661,True
galois_systematic_candidate,Naive.apply_many,255,16,65536,4096,10,0.05,8,3.752455733347839,0.1746482960947032,44.53531550414931,5.725793050152342,0,3,3.752455733347839,0.013165206364777207,True
galois_systematic_candidate,PackedBatch.apply_many,255,16,65536,4096,10,0.05,8,3.735585500001131,0.1754370231921613,44.736440914001136,5.700051116945086,0,3,3.735585500001131,0.0077895612326170415,True
galois_systematic_candidate,PackedBlockLUT.apply_many,255,16,65536,4096,10,0.05,8,0.33178780000889674,1.9752383902675952,503.68578951823673,0.5062680053846691,16128,3,0.33178780000889674,0.0020314453716524282,True
galois_systematic_candidate,PackedBlockLUT.apply_many_packed,255,16,65536,4096,10,0.05,8,0.3066944666594888,2.136849768234069,544.8966908996875,0.46797861733930785,16128,3,0.3066944666594888,0.004067753616897146,True
