profile,task,measurement_mode,block_width,batch_size,input_width,output_width,lut_table_bytes,cache_level_fit,theoretical_ops,theoretical_continuous_ops,predicted_l1_w,predicted_l2_w,predicted_l3_w,backend,processed_bits,packed_word_bits,build_init_s,kernel_build_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,samples_s,warmups,repeats,correctness_passed,timed,skip_reason,affinity_status,frequency_lock_status,cache_flush_bytes,measurement_order,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes
bch_255_239_r16,syndrome,natural,17,1000,255,16,3932160,L3,495,495.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.062544299988076,0.004614800098352134,0.009355999995023012,0.028918700059875846,0.04348970006685704,420.5838970813988,1.6493486160054853,2.377646902174342,0.0006062999600544572,0.0005782999796792865,0.0009126999648287892,8.194029254934573e-05,0.13166906573490392,0.00060739996843;0.000598000013269;0.000621499959379;0.000584800029173;0.000606299960054;0.000578299979679;0.0006246000994;0.000912699964829;0.000627800007351;0.000616099918261;0.000586900045164;0.000584400026128;0.000609499984421;0.000586100039072;0.000590399955399,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,17,10000,255,16,3932160,L3,495,495.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,2550000,16,2.062544299988076,0.004866599920205772,0.0989453000947833,0.5205620999913663,0.6288415000308305,229.44653913694637,0.8997903495566525,4.358313722061176,0.011113699991255999,0.010176299954764545,0.01421439996920526,0.0011633982534644748,0.1032932661225908,0.0107387999306;0.0116324999835;0.0104816000676;0.0111171000171;0.0111136999913;0.0113599000033;0.0112389000133;0.0103555000387;0.012165299966;0.0105132999597;0.0102878999896;0.0103080000263;0.0132427000208;0.0142143999692;0.0101762999548,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,17,100000,255,16,3932160,L3,495,495.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,25500000,16,2.062544299988076,0.004784699995070696,0.9472761999350041,5.60870270000305,6.602554599987343,201.20121054379382,0.7890243550737013,4.970149022947047,0.1267388000851497,0.11112819996196777,0.13123149995226413,0.0061946119408681785,0.049858471471222125,0.12608289998;0.111128199962;0.126738800085;0.127887800103;0.128455600003;0.129561800044;0.123731500003;0.123748400016;0.127679999918;0.128809400019;0.128300899989;0.121240000008;0.11425549991;0.114806500031;0.131231499952,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,17,300000,255,16,3932160,L3,495,495.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,76500000,16,2.062544299988076,0.007801500032655895,2.9789132999721915,16.432664099964313,19.556448300019838,203.19162241266915,0.7968298918143888,4.921462745984006,0.37649190006777644,0.3525101999985054,0.38359049998689443,0.01001975273327537,0.02697580741557658,0.367018399993;0.381974600023;0.380343000055;0.372849399922;0.37029760005;0.357928099926;0.377453400055;0.377249500016;0.354174200096;0.352510199999;0.365010899957;0.377373800031;0.376491900068;0.383590499987;0.377255999949,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,18,100,255,16,7864320,L3,510,481.66666666666663,9,14,19,PackedBlockLUTKernel.apply_many_packed,25500,16,2.062544299988076,0.007578700082376599,0.0009080999298021197,0.003779200022108853,0.01274180004838854,305.0237246138871,1.1961714690740672,3.2784335096092785,8.36000544950366e-05,8.310005068778992e-05,9.159999899566174e-05,2.0940272683176712e-06,0.024897281562842405,8.38999403641e-05;8.31000506878e-05;9.15999989957e-05;8.38999403641e-05;8.31000506878e-05;8.36999388412e-05;8.35000537336e-05;8.33999365568e-05;8.3600054495e-05;8.31999350339e-05;8.35000537336e-05;8.38999403641e-05;8.38000560179e-05;8.33999365568e-05;8.40000575408e-05,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,18,1000,255,16,7864320,L3,510,481.66666666666663,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.062544299988076,0.006155399954877794,0.010592699982225895,0.025927099981345236,0.043364300043322146,452.609172626736,1.7749379318695528,2.2094116966221846,0.0005633999826386571,0.000516700092703104,0.0006841999711468816,5.124696522771157e-05,0.088693258245583,0.000545000075363;0.000545299961232;0.000522600021213;0.000618699938059;0.000684199971147;0.000550500000827;0.000516700092703;0.000525899929926;0.000589100061916;0.000674500013702;0.000577500090003;0.000614699907601;0.000580300111324;0.000563399982639;0.000558599946089,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,18,10000,255,16,7864320,L3,510,481.66666666666663,9,14,19,PackedBlockLUTKernel.apply_many_packed,2550000,16,2.062544299988076,0.0067414999939501286,0.10074070002883673,0.5217641999479383,0.6338442999403924,230.42723962002302,0.9036362338040118,4.339764698171148,0.011066399980336428,0.009030000073835254,0.016845399979501963,0.002319176910626885,0.19048576696150835,0.0102568999864;0.0102677000687;0.0110663999803;0.0110139999306;0.0105551000452;0.0130430000136;0.0143046999583;0.0145354999695;0.0114081000211;0.0107677000342;0.0126174999168;0.00903000007384;0.0107955998974;0.0161184000317;0.0168453999795,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,18,100000,255,16,7864320,L3,510,481.66666666666663,9,14,19,PackedBlockLUTKernel.apply_many_packed,25500000,16,2.062544299988076,0.005838699988089502,0.9164230999303982,5.2786800999892876,6.25073000008706,222.43467412496332,0.8722928397057385,4.495701958041857,0.11464039993006736,0.10453889996279031,0.13309999997727573,0.008249138492096564,0.07083122026596028,0.11464039993;0.108737700037;0.11983109999;0.125417800038;0.113975900109;0.118051300058;0.130237099947;0.113041999983;0.133099999977;0.112634300021;0.104538899963;0.108744200086;0.108126800042;0.114683500025;0.121167499921,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,18,300000,255,16,7864320,L3,510,481.66666666666663,9,14,19,PackedBlockLUTKernel.apply_many_packed,76500000,16,2.062544299988076,0.009158200002275407,2.86202660005074,16.756408200017177,19.747176800039597,203.4724908110757,0.7979313365140224,4.914669280421306,0.37597219995222986,0.33843869995325804,0.4388164000120014,0.025368266989353672,0.06716280904940897,0.362034499994;0.358340799925;0.367596200085;0.375972199952;0.392314699944;0.338438699953;0.344339800067;0.366088200011;0.411079299985;0.380218699924;0.392679800047;0.367913600057;0.438816400012;0.385696199955;0.384166099946,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,19,100,255,16,14680064,L3,490,469.7368421052631,9,14,19,PackedBlockLUTKernel.apply_many_packed,25500,16,2.062544299988076,0.019003399997018278,0.0011024000123143196,0.00572179991286248,0.026516000041738153,205.14880844858575,0.8045051311709244,4.874510398390246,0.00012430001515895128,0.00011869997251778841,0.00013040006160736084,3.72185222871202e-06,0.030105579114515613,0.000118699972518;0.000121499993838;0.000121999997646;0.000130400061607;0.000124799902551;0.00012440001592;0.000126200029626;0.000125400023535;0.000124300015159;0.000118699972518;0.000120099983178;0.0001215999946;0.000126800034195;0.000129799940623;0.000119699980132,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
