profile,task,mode,backend,round_index,batch_size,input_width,output_width,processed_bits,block_width,lut_table_bytes,stream_chunk_size,stream_chunk_plan,active_input_bytes,l1_fit_active_input,warmups,repeats,timed,correctness_passed,skip_reason,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,samples_s,elapsed_s,affinity_status,seed
bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,6,30000,255,16,7650000,14,622592,1000,1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000,31875.0,True,10,15,True,True,,0.014976600068621337,0.014266000012867153,0.016362099908292294,0.0005792102206303526,0.0386743465123237,510.7968407347754,2.00312486562657,1.9577254991661879,0.0146867999574;0.0146717999596;0.0147656999761;0.0156232999871;0.0148443999933;0.0149771000724;0.0159676000476;0.0142660000129;0.0144145999802;0.0152052999474;0.0149766000686;0.0149594999384;0.0154625000432;0.0163620999083;0.015537600033,0.3825832000002265,psutil cpu_affinity set to 6,42
bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,6,100000,255,16,25500000,,,,,3187500.0,False,10,15,True,True,,0.73534099990502,0.7203787999460474,0.780469199991785,0.021372535791990797,0.02906479550950018,34.67778894865606,0.13599132921041593,28.83690195705961,0.766784099978;0.751853700029;0.779337799991;0.738447599928;0.77253279998;0.780469199992;0.72867500002;0.720378799946;0.728268800071;0.735340999905;0.726151800016;0.724923099973;0.722279199981;0.735340400017;0.736463799956,18.737478800001554,psutil cpu_affinity set to 6,42
bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,6,100000,255,16,25500000,14,622592,,,3187500.0,False,10,15,True,True,,0.12191849993541837,0.11529320001136512,0.1323716000188142,0.004842074663316038,0.039715667973941125,209.15611669687243,0.8202200654779311,4.78111764452621,0.12623579998;0.115705500008;0.115461500012;0.121455300017;0.122981999884;0.122040700051;0.117048499989;0.118576499983;0.119871999952;0.115293200011;0.124877800001;0.124004499987;0.121918499935;0.12679140002;0.132371600019,3.0582007999764755,psutil cpu_affinity set to 6,42
bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,6,100000,255,16,25500000,,,1000,1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000,31875.0,True,10,15,True,True,,0.7785765000153333,0.7327230999944732,0.8090920000104234,0.020626152424144163,0.026492133301914394,32.75208023809838,0.12843953034548383,30.532411765307188,0.78118749999;0.778576500015;0.788153599948;0.796360300039;0.760564700002;0.784761399962;0.805844399962;0.784747299971;0.760219900054;0.770215300028;0.80909200001;0.732723099994;0.748565800022;0.775295699947;0.767315599951,19.76538930006791,psutil cpu_affinity set to 6,42
bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,6,100000,255,16,25500000,14,622592,1000,1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000,31875.0,True,10,15,True,True,,0.05551470001228154,0.049852199968881905,0.07104270008858293,0.0050219592819533065,0.09046179265748165,459.33779691430607,1.8013246937815923,2.1770470593051585,0.0531964999391;0.0530374000082;0.0541887000436;0.0710427000886;0.056166299968;0.0498521999689;0.053433299996;0.0572556999978;0.0557489999337;0.0556394000305;0.0519519000081;0.0555147000123;0.0584402000532;0.0594939000439;0.0507926000282,1.3752186999190599,psutil cpu_affinity set to 6,42
bch_255_239_r16,parity,bulk,PackedBatchGF2Kernel.apply_many,6,10,239,16,2390,,,,,298.75,True,10,15,True,True,,7.320009171962738e-05,7.139996159821749e-05,8.909997995942831e-05,4.2857635966785905e-06,0.05854860965330505,32.65023231329042,0.13661185068322348,30.627653439174637,7.69000034779e-05;7.3799979873e-05;7.31999753043e-05;8.90999799594e-05;7.37000955269e-05;7.32000917196e-05;7.30999745429e-05;7.34999775887e-05;7.13999615982e-05;7.40000978112e-05;7.31999753043e-05;7.34999775887e-05;7.20999669284e-05;7.19999661669e-05;7.19000818208e-05,0.002625799970701337,psutil cpu_affinity set to 6,42
bch_255_239_r16,parity,bulk,PackedBlockLUTKernel.apply_many_packed,6,10,239,16,2390,14,589824,,,298.75,True,10,15,True,True,,5.0200033001601696e-05,4.8900023102760315e-05,5.509995389729738e-05,1.8843171187237341e-06,0.03753617290776706,47.60953045436731,0.19920305629442392,21.004197908619958,5.02000330016e-05;5.50999538973e-05;5.42000634596e-05;5.10999234393e-05;4.89000231028e-05;4.940002691e-05;4.97000291944e-05;5.10999234393e-05;4.96000284329e-05;5.17000444233e-05;5.33000566065e-05;4.940002691e-05;5.05999196321e-05;4.96000284329e-05;5.00000314787e-05,0.007114500040188432,psutil cpu_affinity set to 6,42
bch_255_239_r16,parity,stream_chunked,PackedBatchGF2Kernel.apply_many,6,10,239,16,2390,,,1000,10,298.75,True,10,15,True,True,,7.389998063445091e-05,7.239996921271086e-05,9.190000128000975e-05,4.817507233584922e-06,0.06518956016260555,32.34100982816527,0.1353180327538296,30.920493989310007,7.73000065237e-05;7.63999996707e-05;7.49999890104e-05;7.49999890104e-05;7.31000909582e-05;7.38999806345e-05;7.3799979873e-05;7.24999699742e-05;7.38999806345e-05;9.190000128e-05;7.45999859646e-05;7.25000863895e-05;7.32999760658e-05;7.23999692127e-05;7.31999753043e-05,0.002271299948915839,psutil cpu_affinity set to 6,42
bch_255_239_r16,parity,stream_chunked,PackedBlockLUTKernel.apply_many_packed,6,10,239,16,2390,14,589824,1000,10,298.75,True,10,15,True,True,,4.849990364164114e-05,4.6900007873773575e-05,8.789997082203627e-05,1.6325603426664844e-05,0.3366110487000633,49.278448420420965,0.20618597665448102,20.292846711983742,4.74998960271e-05;4.7400011681e-05;4.75000124425e-05;5.21000474691e-05;7.76000088081e-05;7.84000148997e-05;7.50999897718e-05;8.37999396026e-05;8.7899970822e-05;7.39000970498e-05;4.84999036416e-05;4.78000147268e-05;4.69000078738e-05;4.70000086352e-05;4.71000093967e-05,0.004728399915620685,psutil cpu_affinity set to 6,42
bch_255_239_r16,parity,bulk,PackedBatchGF2Kernel.apply_many,6,30,239,16,7170,,,,,896.25,True,10,15,True,True,,0.00020839995704591274,0.0002012000186368823,0.00021970004308968782,5.296209065143613e-06,0.025413676376031123,34.404997494411056,0.14395396441176175,29.065544915747942,0.000205399934202;0.000207599950954;0.000210300087929;0.000211999984458;0.000210899976082;0.000215200008824;0.000208399957046;0.000214700005017;0.000209499965422;0.00021970004309;0.000207800068893;0.000202200026251;0.000201200018637;0.00020350003615;0.000202699913643,0.005920300027355552,psutil cpu_affinity set to 6,42
bch_255_239_r16,parity,bulk,PackedBlockLUTKernel.apply_many_packed,6,30,239,16,7170,14,589824,,,896.25,True,10,15,True,True,,5.579995922744274e-05,5.510007031261921e-05,5.64999645575881e-05,4.527078728608745e-07,0.008113050244635845,128.49471754584638,0.537634801447056,7.782421091693548,5.64999645576e-05;5.58000756428e-05;5.51999546587e-05;5.57999592274e-05;5.51000703126e-05;5.63999637961e-05;5.59999607503e-05;5.64000802115e-05;5.61999622732e-05;5.53999561816e-05;5.55000733584e-05;5.55999577045e-05;5.58999599889e-05;5.5400072597e-05;5.53999561816e-05,0.004595399950630963,psutil cpu_affinity set to 6,42
bch_255_239_r16,parity,stream_chunked,PackedBatchGF2Kernel.apply_many,6,30,239,16,7170,,,1000,30,896.25,True,10,15,True,True,,0.00019970000721514225,0.0001970999874174595,0.0002348999259993434,9.944257706072531e-06,0.049795980704994726,35.903854486472625,0.15022533257938336,27.852162791512168,0.000199300004169;0.000199400004931;0.000199300004169;0.000202900031582;0.000234899925999;0.000215300009586;0.000209100078791;0.00020070001483;0.000199000001885;0.000197200104594;0.000197099987417;0.000197699991986;0.000200500013307;0.00020039989613;0.000199700007215,0.005681599956005812,psutil cpu_affinity set to 6,42
bch_255_239_r16,parity,stream_chunked,PackedBlockLUTKernel.apply_many_packed,6,30,239,16,7170,14,589824,1000,30,896.25,True,10,15,True,True,,5.4900068789720535e-05,5.409994628280401e-05,5.709996912628412e-05,9.454116469006473e-07,0.017220591298742885,130.60092925316167,0.5464474027328939,7.656913359793659,5.48000680283e-05;5.40999462828e-05;5.46999508515e-05;5.42000634596e-05;5.40999462828e-05;5.58000756428e-05;5.55999577045e-05;5.51999546587e-05;5.49000687897e-05;5.58999599889e-05;5.46000665054e-05;5.46999508515e-05;5.68999676034e-05;5.70999691263e-05;5.59000764042e-05,0.007168099982663989,psutil cpu_affinity set to 6,42
bch_255_239_r16,parity,bulk,PackedBatchGF2Kernel.apply_many,6,100,239,16,23900,,,,,2987.5,True,10,15,True,True,,0.0006494000554084778,0.0005951999919489026,0.002146199927665293,0.00038912637253169137,0.5992090226831407,36.803199816431665,0.15398828375076007,27.171550435501164,0.000666899955831;0.000662900041789;0.000657299999148;0.000651699956506;0.000647500040941;0.000645900028758;0.00214619992767;0.000617900048383;0.000595199991949;0.000596300000325;0.000624499982223;0.000666699954309;0.000649400055408;0.000654399977066;0.000648199929856,0.01956650009378791,psutil cpu_affinity set to 6,42
