profile,task,backend,baseline_role,batch_size,input_width,output_width,processed_bits,block_width,packed_word_bits,chunked_online,chunk_size,build_init_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,median_runtime_s,min_runtime_s,max_runtime_s,cv,throughput_Mbit_s,throughput_Mcodeword_s,samples_s,warmups,repeats,correctness_passed,timed,galois_available,galois_version,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes,round_index,probe_iterations,probe_before_ns_per_iter,probe_after_ns_per_iter,probe_ns_per_iter,throughput_norm_Mbit_s,normalization_note,affinity_status,normalization_reference_probe_ns_per_iter
bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,1,255,16,255,14,16,False,1,3.231951200054027,0.00014509994070976973,0.003221399965696037,0.0034765000455081463,0.00010340003063902259,9.899993892759085e-05,0.0001113000325858593,0.058257083964451534,2.4661501396476804,0.0096711770182262,9.89999389276e-05;9.94000583887e-05;0.000107400002889;0.000111300032586,30,4,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep,0,50000,114.59800181910396,139.39199969172478,126.99500075541437,1.8892968465775468,throughput scaled by row_probe/reference_probe,psutil cpu_affinity set to 6,165.77000031247735
bch_255_239_r16,syndrome,galois_per_codeword,"naive library-call baseline, per-codeword",10,255,16,2550,,16,False,10,3.231951200054027,0.001129999989643693,0.02083709998987615,0.02209840004798025,0.0005870999884791672,0.0005672000115737319,0.0005949999904260039,0.02056816561330768,4.343382813897781,0.017032873779991298,0.000567200011574;0.000594999990426;0.000584800029173;0.000589399947785,30,4,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword galois GF(2) matmul",0,50000,114.59800181910396,139.39199969172478,126.99500075541437,3.327428984087931,throughput scaled by row_probe/reference_probe,psutil cpu_affinity set to 6,165.77000031247735
bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,10,255,16,2550,,16,False,10,3.231951200054027,0.0002025999128818512,0.0027337000938132405,0.003076600027270615,7.935002213343978e-05,7.830001413822174e-05,8.050003089010715e-05,0.011332831677819398,32.13609689625248,0.12602390939706856,7.94000225142e-05;7.83000141382e-05;7.93000217527e-05;8.05000308901e-05,30,4,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA,0,50000,114.59800181910396,139.39199969172478,126.99500075541437,24.61919311047061,throughput scaled by row_probe/reference_probe,psutil cpu_affinity set to 6,165.77000031247735
bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,10,255,16,2550,14,16,False,10,3.231951200054027,0.00021510000806301832,0.0025653999764472246,0.002878100029192865,7.51999905332923e-05,7.469998672604561e-05,7.579999510198832e-05,0.006363805358221437,33.909578736862635,0.13297874014455935,7.53999920562e-05;7.5799995102e-05;7.49999890104e-05;7.4699986726e-05,30,4,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep,0,50000,114.59800181910396,139.39199969172478,126.99500075541437,25.977842608349917,throughput scaled by row_probe/reference_probe,psutil cpu_affinity set to 6,165.77000031247735
bch_255_239_r16,syndrome,galois_per_codeword,"naive library-call baseline, per-codeword",100,255,16,25500,,16,False,100,3.231951200054027,0.006208100006915629,0.1902251000283286,0.19661370001267642,0.005535550008062273,0.0054175000404939055,0.005610699998214841,0.015009724998045464,4.606588317847446,0.01806505222685273,0.00556299998425;0.00550810003188;0.00541750004049;0.00561069999821,30,4,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword galois GF(2) matmul",0,50000,114.59800181910396,139.39199969172478,126.99500075541437,3.529068503361075,throughput scaled by row_probe/reference_probe,psutil cpu_affinity set to 6,165.77000031247735
bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,100,255,16,25500,,16,False,100,3.231951200054027,0.00145800004247576,0.022724299924448133,0.024388000019825995,0.0006836500251665711,0.0006455999100580812,0.0008111000061035156,0.10244632445517067,37.299786530084496,0.14627367266699803,0.000811100006104;0.000683199963532;0.000684100086801;0.000645599910058,30,4,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA,0,50000,114.59800181910396,139.39199969172478,126.99500075541437,28.57505223885998,throughput scaled by row_probe/reference_probe,psutil cpu_affinity set to 6,165.77000031247735
bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,100,255,16,25500,14,16,False,100,3.231951200054027,0.0008762000361457467,0.004641199950128794,0.005688800010830164,0.00013509998098015785,0.00013329996727406979,0.00013940001372247934,0.019112792492835397,188.7491013321844,0.7401925542438604,0.000134999980219;0.000133299967274;0.000139400013722;0.000135199981742,30,4,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep,0,50000,114.59800181910396,139.39199969172478,126.99500075541437,144.5990964654678,throughput scaled by row_probe/reference_probe,psutil cpu_affinity set to 6,165.77000031247735
bch_255_239_r16,syndrome,galois_per_codeword,"naive library-call baseline, per-codeword",1000,255,16,255000,,16,False,1000,3.231951200054027,0.061924099922180176,0.0,0.06250310002360493,0.0,0.0,0.0,0.0,0.0,0.0,,30,4,True,False,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword galois GF(2) matmul; skipped timing above backend max_batch_size=100",0,50000,114.59800181910396,139.39199969172478,126.99500075541437,0.0,throughput scaled by row_probe/reference_probe,psutil cpu_affinity set to 6,165.77000031247735
bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,1000,255,16,255000,,16,False,1000,3.231951200054027,0.01392709999345243,0.23814780008979142,0.2526820000493899,0.006842050002887845,0.006798700080253184,0.006996599957346916,0.01289733514854122,37.269531776641706,0.14615502657506552,0.00679870008025;0.00699659995735;0.00686299998779;0.00682110001799,30,4,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA,0,50000,114.59800181910396,139.39199969172478,126.99500075541437,28.551874327120345,throughput scaled by row_probe/reference_probe,psutil cpu_affinity set to 6,165.77000031247735
bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,1000,255,16,255000,14,16,False,1000,3.231951200054027,0.007922600023448467,0.02797880000434816,0.036513600032776594,0.0008449499728158116,0.0008057000814005733,0.0008920000400394201,0.045322269031535745,301.7930152127323,1.1835020204420874,0.000892000040039;0.000863400055096;0.000826499890536;0.000805700081401,30,4,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep,0,50000,114.59800181910396,139.39199969172478,126.99500075541437,231.2010865818581,throughput scaled by row_probe/reference_probe,psutil cpu_affinity set to 6,165.77000031247735
