profile,task,batch_size,round_index,block_width,input_width,output_width,active_input_bytes,l1_fit_active_input,correctness_passed,stage_total_s,stage_repeats,stage_read_prepare_s,stage_read_prepare_pct,stage_index_s,stage_index_pct,stage_lookup_s,stage_lookup_pct,stage_xor_s,stage_xor_pct,stage_write_s,stage_write_pct
bch_255_239_r16,parity,1000,0,14,239,16,29875.0,True,True,0.0003934998530894,5,7.979990914463997e-05,20.27952704889564,0.0002749999985098,69.8856673899113,2.3000058718025684e-05,5.844998044458539,1.3099750503897669e-05,3.3290356784249635,4.00003045797348e-07,0.1016526544182515
bch_255_239_r16,parity,1500,0,14,239,16,44812.5,False,True,0.0005379999056458,5,0.0001225989544764,22.787913750512832,0.0003674005856737,68.29008366324894,3.0600233003497124e-05,5.687776648726875,1.54001172631979e-05,2.8624758297514337,4.00003045797348e-07,0.0743500215519852
bch_255_239_r16,parity,2000,0,14,239,16,59750.0,False,True,0.0006878999993205,5,0.000152000109665,22.096250881703487,0.0004781002644449,69.50141952568752,3.879994619637728e-05,5.640346886858996,1.819990575313568e-05,2.6457196934311904,5.00003807246685e-07,0.0726855368135743
bch_255_239_r16,parity,3000,0,14,239,16,89625.0,False,True,0.0011053001508116,5,0.000237499945797,21.487371156388527,0.0007968002464622,72.089038066004,5.540030542761088e-05,5.012240827699871,2.519995905458927e-05,2.2799199869903024,7.00005330145359e-07,0.0633316958865257
bch_255_239_r16,parity,5000,0,14,239,16,149375.0,False,True,0.0018274000613018,5,0.000396600109525,21.702971228012142,0.001314099994488,71.9109089638457,8.410017471760511e-05,4.602176419852475,3.720005042850971e-05,2.0356817982159545,1.00000761449337e-06,0.0547229714866562
bch_255_239_r16,parity,7000,0,14,239,16,209125.0,False,True,0.0024690999416634,5,0.0005490999901667,22.238872590827267,0.001747099799104,70.75856953473523,0.0001074998872354,4.353808666126309,4.840001929551363e-05,1.9602292511054176,1.400010660290718e-06,0.0567012552496163
bch_255_239_r16,parity,10000,0,14,239,16,298750.0,False,True,0.0076380999526008,5,0.0011641000164672,15.240701531679726,0.0061727000866085,80.81460212505631,0.0001649998594075,2.160221264862592,7.150042802095413e-05,0.9361022828276432,1.800013706088066e-06,0.0235662496858938
bch_255_239_r16,parity,30000,0,14,239,16,896250.0,False,True,0.0282436001580208,5,0.0063919002423062,22.631322517469737,0.0216702003963291,76.72605572620344,0.0004253000952303,1.5058281977184862,0.0002217999426648,0.7853104470529528,5.299923941493034e-06,0.0187650438040488
bch_255_239_r16,parity,100000,0,14,239,16,2987500.0,False,True,0.0989005003357306,5,0.0243380996398627,24.60867190483762,0.0721152999904006,72.91702240696044,0.0014118998078629,1.4275962235479698,0.0007495002355426,0.7578326024624537,1.1100084520876408e-05,0.0112234867196785
bch_255_239_r16,parity,300000,0,14,239,16,8962500.0,False,True,0.2867724001407623,5,0.0708380002761259,24.701819366631906,0.209951699944213,73.21196176520411,0.0054656001739203,1.9059017434165917,0.002045499975793,0.7132834173682786,4.1499966755509377e-05,0.0144713949930813
bch_255_239_r16,parity,1000000,0,14,239,16,29875000.0,False,True,1.0595672000199556,5,0.2694111004238948,25.42652324636142,0.7597633003024384,71.70506035748646,0.0236962001072242,2.2364037039630897,0.0069850997533649,0.6592408441138387,0.0004412999842315,0.0416490793810227
bch_255_239_r16,parity,3000000,0,14,239,16,89625000.0,False,True,2.8331252000061795,5,0.6907764999195933,24.382138139115305,2.0555582999950275,72.5544462345167,0.0642259998712688,2.2669665241454484,0.0197120000375434,0.6957687587368352,0.0013244000729173,0.0467469659623391
bch_255_239_r16,syndrome,10,1,14,255,16,318.75,True,True,6.029999349266291e-05,5,1.2200092896819116e-05,20.232328712114334,3.599992487579584e-05,59.70137439596272,4.300032742321491e-06,7.131066677220628,7.499940693378448e-06,12.43771393489622,3.00002284348011e-07,0.4975162798060902
bch_255_239_r16,syndrome,30,1,14,255,16,956.25,True,True,6.959994789212942e-05,5,1.3999990187585354e-05,20.114943490020224,4.3199979700148106e-05,62.068982820364,4.999921657145023e-06,7.18380086274523,7.399939931929111e-06,10.632105563351894,3.00002284348011e-07,0.4310380875758331
bch_255_239_r16,syndrome,100,1,14,255,16,3187.5,True,True,9.69000393524766e-05,5,2.0499923266470432e-05,21.155742973335016,6.150000263005495e-05,63.46746919920948,5.800044164061546e-06,5.985595261694089,8.09994526207447e-06,8.359073243108492,3.00002284348011e-07,0.3095997549152114
bch_255_239_r16,syndrome,300,1,14,255,16,9562.5,True,True,0.0001879000337794,5,4.160008393228054e-05,22.139476558642272,0.0001231000060215,65.51356247548867,1.009996049106121e-05,5.375177581349761,9.999959729611874e-06,5.321957387910776,4.00003045797348e-07,0.2128807737559392
bch_255_239_r16,syndrome,500,1,14,255,16,15937.5,True,True,0.0002643002662807,5,6.070011295378208e-05,22.96634574302676,0.0001766999484971,66.85575878663907,1.4500110410153866e-05,5.48622618289388,1.140008680522442e-05,4.31330886103381,4.00003045797348e-07,0.1513441705625898
bch_255_239_r16,syndrome,700,1,14,255,16,22312.5,True,True,0.0003506999928504,5,7.90000194683671e-05,22.52638183031313,0.0002326001413166,66.32453551713034,2.220005262643099e-05,6.330211884520779,1.3800105080008508e-05,3.935017211675392,5.00003807246685e-07,0.1425730873795431
bch_255_239_r16,syndrome,1000,1,14,255,16,31875.0,True,True,0.000453200074844,5,0.0001044000964611,23.03620459398622,0.0003077000146731,67.8949611336775,2.7199857868254185e-05,6.001732872090356,1.5600002370774746e-05,3.4421888337380384,5.00003807246685e-07,0.110327388498055
bch_255_239_r16,syndrome,1500,1,14,255,16,47812.5,False,True,0.000652499962598,5,0.0001439000479876,22.053648465315906,0.0004475001478567,68.58240207017677,3.50000336766243e-05,5.363990142966944,1.810002140700817e-05,2.773949799926208,6.00004568696022e-07,0.0919547284427357
