profile,task,measurement_mode,block_width,batch_size,input_width,output_width,lut_table_bytes,cache_level_fit,theoretical_ops,theoretical_continuous_ops,predicted_l1_w,predicted_l2_w,predicted_l3_w,backend,processed_bits,packed_word_bits,build_init_s,kernel_build_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,samples_s,warmups,repeats,correctness_passed,timed,skip_reason,affinity_status,frequency_lock_status,cache_flush_bytes,measurement_order,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes,round_index,probe_iterations,probe_before_ns_per_iter,probe_after_ns_per_iter,probe_ns_per_iter,throughput_norm_Mbit_s,normalization_note,normalization_reference_probe_ns_per_iter
bch_511_484_r27,syndrome,natural,14,1000,511,27,2424832,L3,1517,1496.5,6,12,17,PackedBlockLUTKernel.apply_many_packed,511000,32,1.969552000053227,0.0053391000255942345,0.02053510001860559,0.027000500005669892,0.05368589994031936,553.2098875398055,1.082602519647369,1.8076321890180358,0.0009237000485882163,0.0007522000232711434,0.0010922999354079366,0.0001628834441924737,0.17647654782434702,0.00109229993541;0.00102800002787;0.000819400069304;0.000752200023271,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,477.2538285332672,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_1023_993_r30,syndrome,natural,14,1000,1023,30,4849664,L3,3256,3215.142857142857,5,11,16,PackedBlockLUTKernel.apply_many_packed,1023000,32,1.3068214999511838,0.010153100010938942,0.045657499926164746,0.05295710009522736,0.11013399995863438,690.329985678535,0.6748093701647458,1.4485825920151592,0.0014818999916315079,0.001462399959564209,0.001519800047390163,2.4034733713930867e-05,0.016168673900756027,0.0014811999863;0.00146239995956;0.00148259999696;0.00151980004739,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,595.5472525654926,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_511_484_r27,syndrome,natural,15,1000,511,27,4587520,L3,1470,1430.8000000000002,6,12,17,PackedBlockLUTKernel.apply_many_packed,511000,32,1.969552000053227,0.0057984000304713845,0.020858799922280014,0.031086100032553077,0.058546400046907365,618.681516181758,1.2107270375376866,1.6163405142141298,0.0008259500027634203,0.0008054000791162252,0.0009442999726161361,6.452598276973018e-05,0.07587721270409574,0.000810900004581;0.000805400079116;0.000841000000946;0.000944299972616,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,533.7361621528589,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_1023_993_r30,syndrome,natural,15,1000,1023,30,9043968,L3,3105,3069.0,5,11,16,PackedBlockLUTKernel.apply_many_packed,1023000,32,1.3068214999511838,0.012202200014144182,0.04499189998023212,0.06382189993746579,0.1223755000391975,624.9427257610405,0.6108922050450053,1.6001466354892342,0.0016369500081054866,0.0015846999594941735,0.002137299976311624,0.000261970030334246,0.14978489236897996,0.00167569995392;0.00159820006229;0.00158469995949;0.00213729997631,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,539.1377037924175,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_511_484_r27,syndrome,natural,16,1000,511,27,8388608,L3,1376,1373.3125,6,12,17,PackedBlockLUTKernel.apply_many_packed,511000,32,1.969552000053227,0.007143499911762774,0.020971800084225833,0.028565000044181943,0.05751539999619126,620.4467863926666,1.2141815780678409,1.6117417672740153,0.0008236000430770218,0.0007861999329179525,0.0009001999860629439,5.05772707304294e-05,0.060687869753446436,0.000900199986063;0.000843500019982;0.000803700066172;0.000786199932918,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,535.2590596742654,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_1023_993_r30,syndrome,natural,16,1000,1023,30,16777216,L3,2944,2941.125,5,11,16,PackedBlockLUTKernel.apply_many_packed,1023000,32,1.3068214999511838,0.014059800072573125,0.04452689993195236,0.062179400003515184,0.12239170004613698,582.5740374349514,0.5694760874241949,1.7165200227647583,0.0017559999832883477,0.0016496999887749553,0.0019113000016659498,0.0001127634805859591,0.06377123216243136,0.00179679994471;0.00191130000167;0.00171520002186;0.00164969998877,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,502.5862625239281,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_511_484_r27,syndrome,natural,17,1000,511,27,16252928,L3,1364,1322.5882352941176,6,12,17,PackedBlockLUTKernel.apply_many_packed,511000,32,1.969552000053227,0.009410699945874512,0.020357700064778328,0.03148249990772456,0.061991200083866715,552.1041516217898,1.0804386528802148,1.8112524549263564,0.0009255500044673681,0.0008464999264106154,0.0009976000292226672,8.037094143485633e-05,0.08700037043245855,0.000862500048243;0.000846499926411;0.000997600029223;0.000988599960692,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,476.2999108392676,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_1023_993_r30,syndrome,natural,17,1000,1023,30,31981568,DRAM,2867,2828.294117647059,5,11,16,PackedBlockLUTKernel.apply_many_packed,1023000,32,1.3068214999511838,0.018649299978278577,0.04547840007580817,0.06801400007680058,0.13363369996659458,587.8803425671044,0.5746630914634452,1.701026429346638,0.0017401500372216105,0.001665899995714426,0.0018706000410020351,9.179156299914267e-05,0.05232673671473424,0.001870600041;0.00178220006637;0.00166589999571;0.00169810000807,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,507.16400868632576,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_511_484_r27,syndrome,natural,18,1000,511,27,30408704,DRAM,1305,1277.5,6,12,17,PackedBlockLUTKernel.apply_many_packed,511000,32,1.969552000053227,0.012489499989897013,0.020449599949643016,0.029909900040365756,0.06373870000243187,662.4748864540468,1.2964283492251405,1.5094911829074535,0.0007713499944657087,0.000761799979954958,0.0008218000875785947,2.72779224632425e-05,0.0349012212143024,0.000821800087579;0.000773999956436;0.000768700032495;0.000761799979955,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,571.5166756570051,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_1023_993_r30,syndrome,natural,18,1000,1023,30,59768832,DRAM,2736,2728.0,5,11,16,PackedBlockLUTKernel.apply_many_packed,1023000,32,1.3068214999511838,0.02463020000141114,0.04708280006889254,0.06449150003027171,0.13769520004279912,606.2761190294674,0.5926452776436631,1.6494134745086277,0.001687349984422326,0.0016519000055268407,0.0017093999776989222,2.4030937433916133e-05,0.014270152972034893,0.00165190000553;0.00168320001103;0.00169149995781;0.0017093999777,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,523.0340336863276,throughput scaled by row_probe/reference_probe,101.68200125917792
