profile,task,backend,baseline_role,output_mode,batch_size,input_width,output_width,processed_bits,median_runtime_s,throughput_Mbit_s,throughput_Mcodeword_s,samples_s,warmups,repeats,block_width,packed_word_bits,correctness_passed,galois_available,galois_version,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes
bch_255_239_r16,parity,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,packed,1,239,16,239,7.409998215734959e-05,3.2253718967501106,0.013495279902720128,7.40999821573e-05;7.36999791116e-05;7.68000027165e-05,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,vectorized packed LUT path; not BlockLUTKernel.apply_many
bch_255_239_r16,parity,NaiveGF2Kernel.apply_many,vectorization-overhead reference only,unpacked,10,239,16,2390,6.690004374831915e-05,35.724939268967944,0.1494767333429621,6.69000437483e-05;6.70000445098e-05;6.66999840178e-05,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,not a headline baseline
bch_255_239_r16,parity,PackedBatchGF2Kernel.apply_many,fair vectorized baseline,unpacked,10,239,16,2390,7.269997149705887e-05,32.87484094951384,0.13755163577202445,6.77999923937e-05;7.26999714971e-05;8.17000400275e-05,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,same-task vectorized baseline
bch_255_239_r16,parity,galois.GF2_matmul,third-party verified same-task baseline,unpacked,10,239,16,2390,6.689998554065824e-05,35.724970352160774,0.14947686339816224,6.78999931552e-05;6.68999855407e-05;6.51000300422e-05,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,galois output matched PackedBatchGF2Kernel before timing
bch_255_239_r16,parity,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,packed,10,239,16,2390,7.27999722585082e-05,32.82968283989529,0.13736268970667487,7.30999745429e-05;7.27999722585e-05;7.27000297047e-05,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,vectorized packed LUT path; not BlockLUTKernel.apply_many
bch_255_239_r16,parity,NaiveGF2Kernel.apply_many,vectorization-overhead reference only,unpacked,100,239,16,23900,0.0006707999855279922,35.62910035125912,0.14907573368727664,0.000707899976987;0.000670799985528;0.000652200018521,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,not a headline baseline
bch_255_239_r16,parity,PackedBatchGF2Kernel.apply_many,fair vectorized baseline,unpacked,100,239,16,23900,0.0006397999823093414,37.355424602754084,0.15629884771026814,0.000647800043225;0.000639799982309;0.000628500012681,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,same-task vectorized baseline
bch_255_239_r16,parity,galois.GF2_matmul,third-party verified same-task baseline,unpacked,100,239,16,23900,8.249998791143298e-05,289.69701214571813,1.2121213897310381,8.4400002379e-05;8.24999879114e-05;8.13999795355e-05,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,galois output matched PackedBatchGF2Kernel before timing
bch_255_239_r16,parity,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,packed,100,239,16,23900,0.00011169997742399573,213.9660235496675,0.8952553286596967,0.000111699977424;0.000110600027256;0.000116399955004,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,vectorized packed LUT path; not BlockLUTKernel.apply_many
bch_255_239_r16,parity,NaiveGF2Kernel.apply_many,vectorization-overhead reference only,unpacked,1000,239,16,239000,0.005928100028540939,40.31645870503709,0.1686881117365569,0.00588849995984;0.00592810002854;0.00605739996536,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,not a headline baseline
