index,profile,task,mode,backend,batch_size,throughput_median_Mbit_s,throughput_min_Mbit_s,throughput_max_Mbit_s,throughput_std_Mbit_s,round_count,throughput_cv
20,bch_255_239_r16,parity,bulk,PackedBlockLUTKernel.apply_many_packed,500,512.0813721717769,502.1007010567867,522.0620432867672,14.114800452404644,2,0.027563588951776703
21,bch_255_239_r16,parity,bulk,PackedBlockLUTKernel.apply_many_packed,700,534.3934454638988,528.7611212671758,540.0257696606219,7.9653092666879015,2,0.014905327403058504
22,bch_255_239_r16,parity,bulk,PackedBlockLUTKernel.apply_many_packed,1000,546.8459223025443,538.6522394634558,555.0396051416328,11.587617396822676,2,0.021189912778414737
23,bch_255_239_r16,parity,bulk,PackedBlockLUTKernel.apply_many_packed,1500,559.1124690592011,553.9246648215052,564.300273296897,7.336663111886158,2,0.013121980849812387
24,bch_255_239_r16,parity,bulk,PackedBlockLUTKernel.apply_many_packed,2000,570.4377428169955,562.8827482922919,577.9927373416991,10.684375720490308,2,0.01873013462911413
25,bch_255_239_r16,parity,bulk,PackedBlockLUTKernel.apply_many_packed,3000,379.689034484996,220.9280885694851,538.4499804005069,224.52188288889693,2,0.5913309642809009
26,bch_255_239_r16,parity,bulk,PackedBlockLUTKernel.apply_many_packed,5000,254.90147478000944,252.36525993582453,257.4376896241944,3.586749429738298,2,0.014071120745118527
27,bch_255_239_r16,parity,bulk,PackedBlockLUTKernel.apply_many_packed,7000,222.13374458631114,212.6334531209124,231.6340360517099,13.435441036864262,2,0.06048356615914272
28,bch_255_239_r16,parity,bulk,PackedBlockLUTKernel.apply_many_packed,10000,122.66086943532693,121.19491092424111,124.12682794641276,2.0731784082538454,2,0.016901709712296886
29,bch_255_239_r16,parity,bulk,PackedBlockLUTKernel.apply_many_packed,30000,124.73698488766183,124.5025109392049,124.97145883611876,0.3315962379309658,2,0.0026583634214792148
30,bch_255_239_r16,parity,bulk,PackedBlockLUTKernel.apply_many_packed,100000,109.45332500771292,104.94534055633184,113.961309459094,6.375252750110155,2,0.0582463141221238
