matrix_source,workload_type,backend_or_method,batch_size,density,flip_count,mean_latency_per_word_us,mean_throughput_Mword_s,relative_to_best_from_scratch,correctness_all_true,num_rows
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,1,0.05,1,12.1666622969,0.0821918103418,6.22191957772,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,1,0.05,2,12.6666661041,0.0789473719271,5.96842081077,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,1,0.05,4,11.9333465894,0.0837987895942,6.64803752601,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,1,0.5,1,17.0333466182,0.0587083690841,7.18199049541,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,1,0.5,2,16.2333405266,0.0616016154137,6.246403557,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,1,0.5,4,15.4667068273,0.0646550045312,6.00860442477,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,16,0.005,1,6.51249987034,0.153550866781,0.67562374463,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,16,0.005,2,6.477082934,0.154390488773,0.670955199195,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,16,0.005,4,6.14166613862,0.162822266374,0.67571241701,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,16,0.05,1,6.50624982275,0.153698371142,0.682676911315,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,16,0.05,2,6.53750006071,0.152963669708,0.667941435451,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,16,0.05,4,6.49166637838,0.154043652541,0.654043611289,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,16,0.5,1,6.88333360207,0.145278444691,0.674334139796,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,16,0.5,2,6.74583376773,0.148239644562,0.687152538217,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,16,0.5,4,6.34791649645,0.157532002911,0.701673790276,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,4096,0.005,1,5.68645019428,0.175856635658,0.0975168545758,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,4096,0.005,2,5.84289550905,0.171148020438,0.0930909853139,True,1
